N_Jobs_Total: 2450
N_Runs: 82
Job: 1621, N_Quanta: 5, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1622, N_Quanta: 6, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1623, N_Quanta: 7, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1624, N_Quanta: 8, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1625, N_Quanta: 9, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1626, N_Quanta: 10, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1627, N_Quanta: 11, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1628, N_Quanta: 12, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1629, N_Quanta: 13, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1630, N_Quanta: 14, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1631, N_Quanta: 15, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1632, N_Quanta: 16, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1633, N_Quanta: 17, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1634, N_Quanta: 18, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1635, N_Quanta: 19, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1636, N_Quanta: 20, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1637, N_Quanta: 21, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1638, N_Quanta: 22, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1639, N_Quanta: 23, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1640, N_Quanta: 24, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1641, N_Quanta: 25, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1642, N_Quanta: 26, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1643, N_Quanta: 27, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1644, N_Quanta: 28, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1645, N_Quanta: 29, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1646, N_Quanta: 30, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1647, N_Quanta: 31, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1648, N_Quanta: 32, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1649, N_Quanta: 33, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
Job: 1650, N_Quanta: 34, epsilon: 0.34, NT_per_Second: 800, mem_slope: 0.2
