N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
119.15 secs, 2 evals, 1 steps, fitness=41.396864726
250.18 secs, 4 evals, 2 steps, improv/step: 0.500 (last = 1.0000), fitness=6.476364160
405.73 secs, 6 evals, 3 steps, improv/step: 0.667 (last = 1.0000), fitness=6.476364160
567.48 secs, 8 evals, 4 steps, improv/step: 0.500 (last = 0.0000), fitness=6.476364160
691.37 secs, 10 evals, 5 steps, improv/step: 0.400 (last = 0.0000), fitness=6.476364160
838.50 secs, 12 evals, 6 steps, improv/step: 0.333 (last = 0.0000), fitness=6.476364160
994.21 secs, 14 evals, 7 steps, improv/step: 0.429 (last = 1.0000), fitness=6.476364160
1158.09 secs, 16 evals, 8 steps, improv/step: 0.375 (last = 0.0000), fitness=6.476364160
1282.40 secs, 18 evals, 9 steps, improv/step: 0.333 (last = 0.0000), fitness=2.381234349
1432.24 secs, 20 evals, 10 steps, improv/step: 0.300 (last = 0.0000), fitness=2.381234349
1579.15 secs, 22 evals, 11 steps, improv/step: 0.273 (last = 0.0000), fitness=2.381234349
1724.70 secs, 24 evals, 12 steps, improv/step: 0.333 (last = 1.0000), fitness=2.381234349
1879.52 secs, 26 evals, 13 steps, improv/step: 0.385 (last = 1.0000), fitness=2.381234349
1954.26 secs, 27 evals, 14 steps, improv/step: 0.357 (last = 0.0000), fitness=2.381234349
2121.67 secs, 29 evals, 15 steps, improv/step: 0.333 (last = 0.0000), fitness=2.381234349
2161.99 secs, 30 evals, 16 steps, improv/step: 0.312 (last = 0.0000), fitness=2.381234349
2302.34 secs, 32 evals, 17 steps, improv/step: 0.294 (last = 0.0000), fitness=2.381234349
2445.09 secs, 34 evals, 18 steps, improv/step: 0.333 (last = 1.0000), fitness=2.381234349
2604.27 secs, 36 evals, 19 steps, improv/step: 0.368 (last = 1.0000), fitness=2.381234349
2658.09 secs, 38 evals, 20 steps, improv/step: 0.400 (last = 1.0000), fitness=2.381234349
2804.00 secs, 40 evals, 21 steps, improv/step: 0.381 (last = 0.0000), fitness=2.381234349
2957.40 secs, 42 evals, 22 steps, improv/step: 0.409 (last = 1.0000), fitness=2.381234349
3111.82 secs, 44 evals, 23 steps, improv/step: 0.391 (last = 0.0000), fitness=2.381234349
3242.42 secs, 46 evals, 24 steps, improv/step: 0.417 (last = 1.0000), fitness=2.381234349
3338.57 secs, 48 evals, 25 steps, improv/step: 0.440 (last = 1.0000), fitness=2.381234349
3460.55 secs, 50 evals, 26 steps, improv/step: 0.462 (last = 1.0000), fitness=2.381234349
3596.96 secs, 52 evals, 27 steps, improv/step: 0.481 (last = 1.0000), fitness=1.552562857
3744.26 secs, 54 evals, 28 steps, improv/step: 0.464 (last = 0.0000), fitness=1.552562857
3906.72 secs, 56 evals, 29 steps, improv/step: 0.448 (last = 0.0000), fitness=1.552562857
3987.04 secs, 57 evals, 30 steps, improv/step: 0.433 (last = 0.0000), fitness=1.552562857
4131.37 secs, 59 evals, 31 steps, improv/step: 0.419 (last = 0.0000), fitness=1.552562857
4287.54 secs, 61 evals, 32 steps, improv/step: 0.406 (last = 0.0000), fitness=1.552562857
4444.57 secs, 63 evals, 33 steps, improv/step: 0.424 (last = 1.0000), fitness=1.552562857
4574.59 secs, 65 evals, 34 steps, improv/step: 0.412 (last = 0.0000), fitness=1.552562857
4713.79 secs, 67 evals, 35 steps, improv/step: 0.400 (last = 0.0000), fitness=1.552562857
4868.79 secs, 69 evals, 36 steps, improv/step: 0.417 (last = 1.0000), fitness=1.552562857
4892.47 secs, 70 evals, 37 steps, improv/step: 0.405 (last = 0.0000), fitness=1.552562857
5048.03 secs, 72 evals, 38 steps, improv/step: 0.421 (last = 1.0000), fitness=1.552562857
5199.13 secs, 74 evals, 39 steps, improv/step: 0.410 (last = 0.0000), fitness=1.552562857
5330.21 secs, 76 evals, 40 steps, improv/step: 0.400 (last = 0.0000), fitness=1.552562857
5465.74 secs, 78 evals, 41 steps, improv/step: 0.390 (last = 0.0000), fitness=1.552562857
5621.82 secs, 80 evals, 42 steps, improv/step: 0.405 (last = 1.0000), fitness=1.552562857
5737.67 secs, 82 evals, 43 steps, improv/step: 0.419 (last = 1.0000), fitness=1.552562857
5805.81 secs, 83 evals, 44 steps, improv/step: 0.432 (last = 1.0000), fitness=1.552562857
5962.45 secs, 85 evals, 45 steps, improv/step: 0.444 (last = 1.0000), fitness=1.552562857
6126.71 secs, 87 evals, 46 steps, improv/step: 0.435 (last = 0.0000), fitness=1.552562857
6253.23 secs, 89 evals, 47 steps, improv/step: 0.426 (last = 0.0000), fitness=1.552562857
6398.25 secs, 91 evals, 48 steps, improv/step: 0.438 (last = 1.0000), fitness=1.552562857
6444.72 secs, 92 evals, 49 steps, improv/step: 0.429 (last = 0.0000), fitness=1.552562857
6542.23 secs, 94 evals, 50 steps, improv/step: 0.420 (last = 0.0000), fitness=1.552562857
6668.98 secs, 96 evals, 51 steps, improv/step: 0.412 (last = 0.0000), fitness=1.552562857
6823.05 secs, 98 evals, 52 steps, improv/step: 0.423 (last = 1.0000), fitness=1.552562857
6954.91 secs, 100 evals, 53 steps, improv/step: 0.434 (last = 1.0000), fitness=1.552562857
7048.40 secs, 102 evals, 54 steps, improv/step: 0.426 (last = 0.0000), fitness=1.552562857
7129.98 secs, 103 evals, 55 steps, improv/step: 0.418 (last = 0.0000), fitness=1.552562857
7267.57 secs, 105 evals, 56 steps, improv/step: 0.411 (last = 0.0000), fitness=1.552562857
7420.53 secs, 107 evals, 57 steps, improv/step: 0.421 (last = 1.0000), fitness=1.552562857
7503.74 secs, 109 evals, 58 steps, improv/step: 0.431 (last = 1.0000), fitness=1.552562857
7568.10 secs, 110 evals, 59 steps, improv/step: 0.441 (last = 1.0000), fitness=1.552562857
7595.55 secs, 111 evals, 60 steps, improv/step: 0.433 (last = 0.0000), fitness=1.552562857
7740.36 secs, 113 evals, 61 steps, improv/step: 0.426 (last = 0.0000), fitness=1.552562857
7901.03 secs, 115 evals, 62 steps, improv/step: 0.435 (last = 1.0000), fitness=1.552562857
8022.76 secs, 117 evals, 63 steps, improv/step: 0.444 (last = 1.0000), fitness=1.552562857
8063.94 secs, 118 evals, 64 steps, improv/step: 0.438 (last = 0.0000), fitness=1.552562857
8216.47 secs, 120 evals, 65 steps, improv/step: 0.431 (last = 0.0000), fitness=1.552562857
8284.39 secs, 121 evals, 66 steps, improv/step: 0.439 (last = 1.0000), fitness=1.552562857
8360.19 secs, 122 evals, 67 steps, improv/step: 0.433 (last = 0.0000), fitness=1.552562857
8513.10 secs, 124 evals, 68 steps, improv/step: 0.441 (last = 1.0000), fitness=1.552562857
8601.51 secs, 126 evals, 69 steps, improv/step: 0.435 (last = 0.0000), fitness=1.552562857
8677.79 secs, 127 evals, 70 steps, improv/step: 0.429 (last = 0.0000), fitness=1.552562857
8759.17 secs, 129 evals, 71 steps, improv/step: 0.423 (last = 0.0000), fitness=1.552562857
8834.98 secs, 130 evals, 72 steps, improv/step: 0.431 (last = 1.0000), fitness=1.552562857
8950.74 secs, 132 evals, 73 steps, improv/step: 0.425 (last = 0.0000), fitness=1.552562857
9103.56 secs, 134 evals, 74 steps, improv/step: 0.419 (last = 0.0000), fitness=1.552562857
9257.95 secs, 136 evals, 75 steps, improv/step: 0.413 (last = 0.0000), fitness=1.552562857
9317.58 secs, 137 evals, 76 steps, improv/step: 0.421 (last = 1.0000), fitness=1.552562857
9397.06 secs, 138 evals, 77 steps, improv/step: 0.416 (last = 0.0000), fitness=1.552562857
9466.52 secs, 139 evals, 78 steps, improv/step: 0.410 (last = 0.0000), fitness=1.552562857
9533.68 secs, 140 evals, 79 steps, improv/step: 0.418 (last = 1.0000), fitness=1.552562857
9611.70 secs, 141 evals, 80 steps, improv/step: 0.412 (last = 0.0000), fitness=1.552562857
9664.87 secs, 142 evals, 81 steps, improv/step: 0.407 (last = 0.0000), fitness=1.552562857
9813.75 secs, 144 evals, 82 steps, improv/step: 0.415 (last = 1.0000), fitness=1.552562857
9971.89 secs, 146 evals, 83 steps, improv/step: 0.410 (last = 0.0000), fitness=1.552562857
10021.08 secs, 148 evals, 84 steps, improv/step: 0.405 (last = 0.0000), fitness=1.552562857
10090.58 secs, 149 evals, 85 steps, improv/step: 0.412 (last = 1.0000), fitness=1.552562857
10165.39 secs, 150 evals, 86 steps, improv/step: 0.419 (last = 1.0000), fitness=1.552562857
10237.97 secs, 151 evals, 87 steps, improv/step: 0.414 (last = 0.0000), fitness=1.552562857
10355.34 secs, 153 evals, 88 steps, improv/step: 0.409 (last = 0.0000), fitness=1.552562857
10424.91 secs, 154 evals, 89 steps, improv/step: 0.416 (last = 1.0000), fitness=1.552562857
