N_Jobs_Total: 3024
N_Runs: 275
Job: 133, N_Quanta: 128, epsilon: 0.978, NT_per_Second: 800, mem_slope: 0.0125
Job: 134, N_Quanta: 128, epsilon: 0.978, NT_per_Second: 1600, mem_slope: 0.0125
Job: 135, N_Quanta: 128, epsilon: 0.978, NT_per_Second: 3200, mem_slope: 0.0125
Job: 136, N_Quanta: 256, epsilon: 0.978, NT_per_Second: 12, mem_slope: 0.0125
Job: 137, N_Quanta: 256, epsilon: 0.978, NT_per_Second: 25, mem_slope: 0.0125
Job: 138, N_Quanta: 256, epsilon: 0.978, NT_per_Second: 50, mem_slope: 0.0125
Job: 139, N_Quanta: 256, epsilon: 0.978, NT_per_Second: 100, mem_slope: 0.0125
Job: 140, N_Quanta: 256, epsilon: 0.978, NT_per_Second: 200, mem_slope: 0.0125
Job: 141, N_Quanta: 256, epsilon: 0.978, NT_per_Second: 400, mem_slope: 0.0125
Job: 142, N_Quanta: 256, epsilon: 0.978, NT_per_Second: 800, mem_slope: 0.0125
Job: 143, N_Quanta: 256, epsilon: 0.978, NT_per_Second: 1600, mem_slope: 0.0125
