N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
6720.28 secs, 102 evals, 63 steps, improv/step: 0.603 (last = 1.0000), fitness=1.279524598
6877.52 secs, 104 evals, 64 steps, improv/step: 0.609 (last = 1.0000), fitness=1.279524598
7039.68 secs, 106 evals, 65 steps, improv/step: 0.600 (last = 0.0000), fitness=1.279524598
7116.56 secs, 107 evals, 66 steps, improv/step: 0.591 (last = 0.0000), fitness=1.279524598
7186.83 secs, 108 evals, 67 steps, improv/step: 0.582 (last = 0.0000), fitness=1.279524598
7211.53 secs, 109 evals, 68 steps, improv/step: 0.574 (last = 0.0000), fitness=1.279524598
7286.07 secs, 110 evals, 69 steps, improv/step: 0.580 (last = 1.0000), fitness=1.279524598
7408.06 secs, 112 evals, 70 steps, improv/step: 0.571 (last = 0.0000), fitness=1.279524598
7489.74 secs, 113 evals, 71 steps, improv/step: 0.563 (last = 0.0000), fitness=1.279524598
7553.80 secs, 114 evals, 72 steps, improv/step: 0.556 (last = 0.0000), fitness=1.279524598
7629.59 secs, 115 evals, 73 steps, improv/step: 0.562 (last = 1.0000), fitness=1.279524598
7780.06 secs, 117 evals, 74 steps, improv/step: 0.568 (last = 1.0000), fitness=1.279524598
7815.12 secs, 118 evals, 75 steps, improv/step: 0.573 (last = 1.0000), fitness=1.279524598
7918.28 secs, 120 evals, 76 steps, improv/step: 0.566 (last = 0.0000), fitness=1.213968293
8052.11 secs, 122 evals, 77 steps, improv/step: 0.571 (last = 1.0000), fitness=1.213968293
8161.38 secs, 124 evals, 78 steps, improv/step: 0.577 (last = 1.0000), fitness=1.213968293
8304.92 secs, 126 evals, 79 steps, improv/step: 0.570 (last = 0.0000), fitness=1.213968293
8375.50 secs, 127 evals, 80 steps, improv/step: 0.575 (last = 1.0000), fitness=1.213968293
8422.56 secs, 128 evals, 81 steps, improv/step: 0.568 (last = 0.0000), fitness=1.213968293
8497.85 secs, 129 evals, 82 steps, improv/step: 0.561 (last = 0.0000), fitness=1.213968293
8658.35 secs, 131 evals, 83 steps, improv/step: 0.566 (last = 1.0000), fitness=1.213968293
8825.48 secs, 133 evals, 84 steps, improv/step: 0.560 (last = 0.0000), fitness=1.213968293
8875.15 secs, 134 evals, 85 steps, improv/step: 0.565 (last = 1.0000), fitness=1.213968293
8955.87 secs, 135 evals, 86 steps, improv/step: 0.558 (last = 0.0000), fitness=1.213968293
9035.12 secs, 136 evals, 87 steps, improv/step: 0.552 (last = 0.0000), fitness=1.213968293
9079.96 secs, 137 evals, 88 steps, improv/step: 0.557 (last = 1.0000), fitness=1.213968293
9149.95 secs, 138 evals, 89 steps, improv/step: 0.551 (last = 0.0000), fitness=1.213968293
9179.43 secs, 139 evals, 90 steps, improv/step: 0.556 (last = 1.0000), fitness=1.204154973
9322.85 secs, 141 evals, 91 steps, improv/step: 0.560 (last = 1.0000), fitness=1.204154973
9397.96 secs, 142 evals, 92 steps, improv/step: 0.554 (last = 0.0000), fitness=1.204154973
9456.80 secs, 144 evals, 93 steps, improv/step: 0.559 (last = 1.0000), fitness=1.024378136
9481.92 secs, 145 evals, 94 steps, improv/step: 0.553 (last = 0.0000), fitness=1.024378136
9642.49 secs, 147 evals, 95 steps, improv/step: 0.547 (last = 0.0000), fitness=1.024378136
9717.27 secs, 148 evals, 96 steps, improv/step: 0.552 (last = 1.0000), fitness=1.024378136
9752.66 secs, 149 evals, 97 steps, improv/step: 0.546 (last = 0.0000), fitness=1.024378136
9777.91 secs, 150 evals, 98 steps, improv/step: 0.551 (last = 1.0000), fitness=1.024378136
9851.93 secs, 151 evals, 99 steps, improv/step: 0.545 (last = 0.0000), fitness=1.024378136
