N_Jobs_Total: 3024
N_Runs: 275
Job: 1915, N_Quanta: 32, epsilon: 0.949, NT_per_Second: 800, mem_slope: 0.2
Job: 1916, N_Quanta: 32, epsilon: 0.949, NT_per_Second: 1600, mem_slope: 0.2
Job: 1917, N_Quanta: 32, epsilon: 0.949, NT_per_Second: 3200, mem_slope: 0.2
Job: 1918, N_Quanta: 64, epsilon: 0.949, NT_per_Second: 12, mem_slope: 0.2
Job: 1919, N_Quanta: 64, epsilon: 0.949, NT_per_Second: 25, mem_slope: 0.2
Job: 1920, N_Quanta: 64, epsilon: 0.949, NT_per_Second: 50, mem_slope: 0.2
Job: 1921, N_Quanta: 64, epsilon: 0.949, NT_per_Second: 100, mem_slope: 0.2
Job: 1922, N_Quanta: 64, epsilon: 0.949, NT_per_Second: 200, mem_slope: 0.2
Job: 1923, N_Quanta: 64, epsilon: 0.949, NT_per_Second: 400, mem_slope: 0.2
Job: 1924, N_Quanta: 64, epsilon: 0.949, NT_per_Second: 800, mem_slope: 0.2
Job: 1925, N_Quanta: 64, epsilon: 0.949, NT_per_Second: 1600, mem_slope: 0.2
