N_Jobs_Total: 14700
N_Runs: 60
Job: 7106, N_Quanta: 10, epsilon: 0.52, NT_per_Second: 25, mem_slope: 0.2
Job: 7107, N_Quanta: 10, epsilon: 0.52, NT_per_Second: 50, mem_slope: 0.2
Job: 7108, N_Quanta: 10, epsilon: 0.52, NT_per_Second: 100, mem_slope: 0.2
Job: 7109, N_Quanta: 10, epsilon: 0.52, NT_per_Second: 200, mem_slope: 0.2
Job: 7110, N_Quanta: 10, epsilon: 0.52, NT_per_Second: 400, mem_slope: 0.2
Job: 7111, N_Quanta: 11, epsilon: 0.52, NT_per_Second: 10, mem_slope: 0.2
Job: 7112, N_Quanta: 11, epsilon: 0.52, NT_per_Second: 25, mem_slope: 0.2
Job: 7113, N_Quanta: 11, epsilon: 0.52, NT_per_Second: 50, mem_slope: 0.2
Job: 7114, N_Quanta: 11, epsilon: 0.52, NT_per_Second: 100, mem_slope: 0.2
Job: 7115, N_Quanta: 11, epsilon: 0.52, NT_per_Second: 200, mem_slope: 0.2
Job: 7116, N_Quanta: 11, epsilon: 0.52, NT_per_Second: 400, mem_slope: 0.2
Job: 7117, N_Quanta: 12, epsilon: 0.52, NT_per_Second: 10, mem_slope: 0.2
Job: 7118, N_Quanta: 12, epsilon: 0.52, NT_per_Second: 25, mem_slope: 0.2
Job: 7119, N_Quanta: 12, epsilon: 0.52, NT_per_Second: 50, mem_slope: 0.2
Job: 7120, N_Quanta: 12, epsilon: 0.52, NT_per_Second: 100, mem_slope: 0.2
Job: 7121, N_Quanta: 12, epsilon: 0.52, NT_per_Second: 200, mem_slope: 0.2
Job: 7122, N_Quanta: 12, epsilon: 0.52, NT_per_Second: 400, mem_slope: 0.2
Job: 7123, N_Quanta: 13, epsilon: 0.52, NT_per_Second: 10, mem_slope: 0.2
Job: 7124, N_Quanta: 13, epsilon: 0.52, NT_per_Second: 25, mem_slope: 0.2
Job: 7125, N_Quanta: 13, epsilon: 0.52, NT_per_Second: 50, mem_slope: 0.2
Job: 7126, N_Quanta: 13, epsilon: 0.52, NT_per_Second: 100, mem_slope: 0.2
Job: 7127, N_Quanta: 13, epsilon: 0.52, NT_per_Second: 200, mem_slope: 0.2
Job: 7128, N_Quanta: 13, epsilon: 0.52, NT_per_Second: 400, mem_slope: 0.2
Job: 7129, N_Quanta: 14, epsilon: 0.52, NT_per_Second: 10, mem_slope: 0.2
Job: 7130, N_Quanta: 14, epsilon: 0.52, NT_per_Second: 25, mem_slope: 0.2
Job: 7131, N_Quanta: 14, epsilon: 0.52, NT_per_Second: 50, mem_slope: 0.2
Job: 7132, N_Quanta: 14, epsilon: 0.52, NT_per_Second: 100, mem_slope: 0.2
Job: 7133, N_Quanta: 14, epsilon: 0.52, NT_per_Second: 200, mem_slope: 0.2
Job: 7134, N_Quanta: 14, epsilon: 0.52, NT_per_Second: 400, mem_slope: 0.2
Job: 7135, N_Quanta: 15, epsilon: 0.52, NT_per_Second: 10, mem_slope: 0.2
Job: 7136, N_Quanta: 15, epsilon: 0.52, NT_per_Second: 25, mem_slope: 0.2
Job: 7137, N_Quanta: 15, epsilon: 0.52, NT_per_Second: 50, mem_slope: 0.2
Job: 7138, N_Quanta: 15, epsilon: 0.52, NT_per_Second: 100, mem_slope: 0.2
Job: 7139, N_Quanta: 15, epsilon: 0.52, NT_per_Second: 200, mem_slope: 0.2
Job: 7140, N_Quanta: 15, epsilon: 0.52, NT_per_Second: 400, mem_slope: 0.2
Job: 7141, N_Quanta: 16, epsilon: 0.52, NT_per_Second: 10, mem_slope: 0.2
Job: 7142, N_Quanta: 16, epsilon: 0.52, NT_per_Second: 25, mem_slope: 0.2
Job: 7143, N_Quanta: 16, epsilon: 0.52, NT_per_Second: 50, mem_slope: 0.2
Job: 7144, N_Quanta: 16, epsilon: 0.52, NT_per_Second: 100, mem_slope: 0.2
Job: 7145, N_Quanta: 16, epsilon: 0.52, NT_per_Second: 200, mem_slope: 0.2
Job: 7146, N_Quanta: 16, epsilon: 0.52, NT_per_Second: 400, mem_slope: 0.2
Job: 7147, N_Quanta: 17, epsilon: 0.52, NT_per_Second: 10, mem_slope: 0.2
Job: 7148, N_Quanta: 17, epsilon: 0.52, NT_per_Second: 25, mem_slope: 0.2
Job: 7149, N_Quanta: 17, epsilon: 0.52, NT_per_Second: 50, mem_slope: 0.2
Job: 7150, N_Quanta: 17, epsilon: 0.52, NT_per_Second: 100, mem_slope: 0.2
Job: 7151, N_Quanta: 17, epsilon: 0.52, NT_per_Second: 200, mem_slope: 0.2
Job: 7152, N_Quanta: 17, epsilon: 0.52, NT_per_Second: 400, mem_slope: 0.2
Job: 7153, N_Quanta: 18, epsilon: 0.52, NT_per_Second: 10, mem_slope: 0.2
Job: 7154, N_Quanta: 18, epsilon: 0.52, NT_per_Second: 25, mem_slope: 0.2
Job: 7155, N_Quanta: 18, epsilon: 0.52, NT_per_Second: 50, mem_slope: 0.2
Job: 7156, N_Quanta: 18, epsilon: 0.52, NT_per_Second: 100, mem_slope: 0.2
Job: 7157, N_Quanta: 18, epsilon: 0.52, NT_per_Second: 200, mem_slope: 0.2
Job: 7158, N_Quanta: 18, epsilon: 0.52, NT_per_Second: 400, mem_slope: 0.2
Job: 7159, N_Quanta: 19, epsilon: 0.52, NT_per_Second: 10, mem_slope: 0.2
Job: 7160, N_Quanta: 19, epsilon: 0.52, NT_per_Second: 25, mem_slope: 0.2
Job: 7161, N_Quanta: 19, epsilon: 0.52, NT_per_Second: 50, mem_slope: 0.2
Job: 7162, N_Quanta: 19, epsilon: 0.52, NT_per_Second: 100, mem_slope: 0.2
Job: 7163, N_Quanta: 19, epsilon: 0.52, NT_per_Second: 200, mem_slope: 0.2
Job: 7164, N_Quanta: 19, epsilon: 0.52, NT_per_Second: 400, mem_slope: 0.2
Job: 7165, N_Quanta: 20, epsilon: 0.52, NT_per_Second: 10, mem_slope: 0.2
Job: 7166, N_Quanta: 20, epsilon: 0.52, NT_per_Second: 25, mem_slope: 0.2
Job: 7167, N_Quanta: 20, epsilon: 0.52, NT_per_Second: 50, mem_slope: 0.2
Job: 7168, N_Quanta: 20, epsilon: 0.52, NT_per_Second: 100, mem_slope: 0.2
Job: 7169, N_Quanta: 20, epsilon: 0.52, NT_per_Second: 200, mem_slope: 0.2
Job: 7170, N_Quanta: 20, epsilon: 0.52, NT_per_Second: 400, mem_slope: 0.2
Job: 7171, N_Quanta: 21, epsilon: 0.52, NT_per_Second: 10, mem_slope: 0.2
Job: 7172, N_Quanta: 21, epsilon: 0.52, NT_per_Second: 25, mem_slope: 0.2
Job: 7173, N_Quanta: 21, epsilon: 0.52, NT_per_Second: 50, mem_slope: 0.2
Job: 7174, N_Quanta: 21, epsilon: 0.52, NT_per_Second: 100, mem_slope: 0.2
Job: 7175, N_Quanta: 21, epsilon: 0.52, NT_per_Second: 200, mem_slope: 0.2
Job: 7176, N_Quanta: 21, epsilon: 0.52, NT_per_Second: 400, mem_slope: 0.2
Job: 7177, N_Quanta: 22, epsilon: 0.52, NT_per_Second: 10, mem_slope: 0.2
Job: 7178, N_Quanta: 22, epsilon: 0.52, NT_per_Second: 25, mem_slope: 0.2
