N_Jobs_Total: 2450
N_Runs: 82
Job: 1141, N_Quanta: 15, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1142, N_Quanta: 16, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1143, N_Quanta: 17, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1144, N_Quanta: 18, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1145, N_Quanta: 19, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1146, N_Quanta: 20, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1147, N_Quanta: 21, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1148, N_Quanta: 22, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1149, N_Quanta: 23, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1150, N_Quanta: 24, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1151, N_Quanta: 25, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1152, N_Quanta: 26, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1153, N_Quanta: 27, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1154, N_Quanta: 28, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1155, N_Quanta: 29, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1156, N_Quanta: 30, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1157, N_Quanta: 31, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1158, N_Quanta: 32, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1159, N_Quanta: 33, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1160, N_Quanta: 34, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1161, N_Quanta: 35, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1162, N_Quanta: 36, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1163, N_Quanta: 37, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1164, N_Quanta: 38, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1165, N_Quanta: 39, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1166, N_Quanta: 40, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1167, N_Quanta: 41, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1168, N_Quanta: 42, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1169, N_Quanta: 43, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
Job: 1170, N_Quanta: 44, epsilon: 0.54, NT_per_Second: 800, mem_slope: 0.2
