N_Jobs_Total: 3024
N_Runs: 275
Job: 1607, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 200, mem_slope: 0.1
Job: 1608, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 400, mem_slope: 0.1
Job: 1609, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 800, mem_slope: 0.1
Job: 1610, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 1600, mem_slope: 0.1
Job: 1611, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 3200, mem_slope: 0.1
Job: 1612, N_Quanta: 16, epsilon: 0.744, NT_per_Second: 12, mem_slope: 0.1
Job: 1613, N_Quanta: 16, epsilon: 0.744, NT_per_Second: 25, mem_slope: 0.1
Job: 1614, N_Quanta: 16, epsilon: 0.744, NT_per_Second: 50, mem_slope: 0.1
Job: 1615, N_Quanta: 16, epsilon: 0.744, NT_per_Second: 100, mem_slope: 0.1
Job: 1616, N_Quanta: 16, epsilon: 0.744, NT_per_Second: 200, mem_slope: 0.1
Job: 1617, N_Quanta: 16, epsilon: 0.744, NT_per_Second: 400, mem_slope: 0.1
