N_Jobs_Total: 3024
N_Runs: 275
Job: 2883, N_Quanta: 2, epsilon: 0.744, NT_per_Second: 50, mem_slope: 0.8
Job: 2884, N_Quanta: 2, epsilon: 0.744, NT_per_Second: 100, mem_slope: 0.8
Job: 2885, N_Quanta: 2, epsilon: 0.744, NT_per_Second: 200, mem_slope: 0.8
Job: 2886, N_Quanta: 2, epsilon: 0.744, NT_per_Second: 400, mem_slope: 0.8
Job: 2887, N_Quanta: 2, epsilon: 0.744, NT_per_Second: 800, mem_slope: 0.8
Job: 2888, N_Quanta: 2, epsilon: 0.744, NT_per_Second: 1600, mem_slope: 0.8
Job: 2889, N_Quanta: 2, epsilon: 0.744, NT_per_Second: 3200, mem_slope: 0.8
Job: 2890, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 12, mem_slope: 0.8
Job: 2891, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 25, mem_slope: 0.8
Job: 2892, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 50, mem_slope: 0.8
Job: 2893, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 100, mem_slope: 0.8
