N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
92.11 secs, 2 evals, 1 steps, fitness=4.718803053
167.67 secs, 4 evals, 2 steps, fitness=4.718803053
234.13 secs, 6 evals, 3 steps, fitness=4.718803053
332.21 secs, 8 evals, 4 steps, fitness=4.718803053
426.97 secs, 10 evals, 5 steps, fitness=4.718803053
519.13 secs, 12 evals, 6 steps, fitness=4.718803053
604.31 secs, 14 evals, 7 steps, fitness=4.718803053
702.46 secs, 16 evals, 8 steps, fitness=4.718803053
797.41 secs, 18 evals, 9 steps, fitness=4.718803053
886.31 secs, 20 evals, 10 steps, fitness=4.718803053
5253.10 secs, 122 evals, 67 steps, improv/step: 0.433 (last = 1.0000), fitness=1.750759214
5302.05 secs, 123 evals, 68 steps, improv/step: 0.426 (last = 0.0000), fitness=1.750759214
5392.31 secs, 125 evals, 69 steps, improv/step: 0.420 (last = 0.0000), fitness=1.750759214
5488.77 secs, 127 evals, 70 steps, improv/step: 0.414 (last = 0.0000), fitness=1.750759214
5535.10 secs, 128 evals, 71 steps, improv/step: 0.408 (last = 0.0000), fitness=1.750759214
5616.49 secs, 130 evals, 72 steps, improv/step: 0.403 (last = 0.0000), fitness=1.750759214
5706.65 secs, 132 evals, 73 steps, improv/step: 0.397 (last = 0.0000), fitness=1.750759214
5753.15 secs, 133 evals, 74 steps, improv/step: 0.405 (last = 1.0000), fitness=1.750759214
5837.22 secs, 135 evals, 75 steps, improv/step: 0.400 (last = 0.0000), fitness=1.750759214
5866.01 secs, 136 evals, 76 steps, improv/step: 0.395 (last = 0.0000), fitness=1.750759214
5964.29 secs, 138 evals, 77 steps, improv/step: 0.403 (last = 1.0000), fitness=1.750759214
6006.98 secs, 139 evals, 78 steps, improv/step: 0.410 (last = 1.0000), fitness=1.750759214
6086.30 secs, 141 evals, 79 steps, improv/step: 0.405 (last = 0.0000), fitness=1.750759214
6134.89 secs, 142 evals, 80 steps, improv/step: 0.400 (last = 0.0000), fitness=1.750759214
6222.68 secs, 144 evals, 81 steps, improv/step: 0.407 (last = 1.0000), fitness=1.750759214
6320.25 secs, 146 evals, 82 steps, improv/step: 0.402 (last = 0.0000), fitness=1.750759214
6394.28 secs, 148 evals, 83 steps, improv/step: 0.398 (last = 0.0000), fitness=1.750759214
6483.99 secs, 150 evals, 84 steps, improv/step: 0.405 (last = 1.0000), fitness=1.750759214
6555.09 secs, 152 evals, 85 steps, improv/step: 0.400 (last = 0.0000), fitness=1.750759214
6598.45 secs, 153 evals, 86 steps, improv/step: 0.407 (last = 1.0000), fitness=1.750759214
6681.41 secs, 155 evals, 87 steps, improv/step: 0.414 (last = 1.0000), fitness=1.750759214
6729.91 secs, 156 evals, 88 steps, improv/step: 0.420 (last = 1.0000), fitness=1.750759214
6744.26 secs, 157 evals, 89 steps, improv/step: 0.416 (last = 0.0000), fitness=1.750759214
6842.33 secs, 159 evals, 90 steps, improv/step: 0.411 (last = 0.0000), fitness=1.750759214
6931.40 secs, 161 evals, 91 steps, improv/step: 0.407 (last = 0.0000), fitness=1.750759214
7026.36 secs, 163 evals, 92 steps, improv/step: 0.402 (last = 0.0000), fitness=1.750759214
7123.81 secs, 165 evals, 93 steps, improv/step: 0.398 (last = 0.0000), fitness=1.750759214
7173.04 secs, 166 evals, 94 steps, improv/step: 0.394 (last = 0.0000), fitness=1.750759214
7257.83 secs, 168 evals, 95 steps, improv/step: 0.400 (last = 1.0000), fitness=1.750759214
