N_Jobs_Total: 2450
N_Runs: 82
Job: 1261, N_Quanta: 37, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1262, N_Quanta: 38, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1263, N_Quanta: 39, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1264, N_Quanta: 40, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1265, N_Quanta: 41, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1266, N_Quanta: 42, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1267, N_Quanta: 43, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1268, N_Quanta: 44, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1269, N_Quanta: 45, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1270, N_Quanta: 46, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1271, N_Quanta: 47, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1272, N_Quanta: 48, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1273, N_Quanta: 49, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1274, N_Quanta: 50, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1275, N_Quanta: 2, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1276, N_Quanta: 3, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1277, N_Quanta: 4, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1278, N_Quanta: 5, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1279, N_Quanta: 6, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1280, N_Quanta: 7, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1281, N_Quanta: 8, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1282, N_Quanta: 9, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1283, N_Quanta: 10, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1284, N_Quanta: 11, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1285, N_Quanta: 12, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1286, N_Quanta: 13, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1287, N_Quanta: 14, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1288, N_Quanta: 15, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1289, N_Quanta: 16, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
Job: 1290, N_Quanta: 17, epsilon: 0.48, NT_per_Second: 800, mem_slope: 0.2
