N_Jobs_Total: 14700
N_Runs: 60
Job: 4656, N_Quanta: 42, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4657, N_Quanta: 43, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4658, N_Quanta: 43, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4659, N_Quanta: 43, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4660, N_Quanta: 43, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4661, N_Quanta: 43, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4662, N_Quanta: 43, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4663, N_Quanta: 44, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4664, N_Quanta: 44, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4665, N_Quanta: 44, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4666, N_Quanta: 44, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4667, N_Quanta: 44, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4668, N_Quanta: 44, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4669, N_Quanta: 45, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4670, N_Quanta: 45, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4671, N_Quanta: 45, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4672, N_Quanta: 45, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4673, N_Quanta: 45, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4674, N_Quanta: 45, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4675, N_Quanta: 46, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4676, N_Quanta: 46, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4677, N_Quanta: 46, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4678, N_Quanta: 46, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4679, N_Quanta: 46, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4680, N_Quanta: 46, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4681, N_Quanta: 47, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4682, N_Quanta: 47, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4683, N_Quanta: 47, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4684, N_Quanta: 47, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4685, N_Quanta: 47, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4686, N_Quanta: 47, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4687, N_Quanta: 48, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4688, N_Quanta: 48, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4689, N_Quanta: 48, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4690, N_Quanta: 48, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4691, N_Quanta: 48, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4692, N_Quanta: 48, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4693, N_Quanta: 49, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4694, N_Quanta: 49, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4695, N_Quanta: 49, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4696, N_Quanta: 49, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4697, N_Quanta: 49, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4698, N_Quanta: 49, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4699, N_Quanta: 50, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4700, N_Quanta: 50, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4701, N_Quanta: 50, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4702, N_Quanta: 50, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4703, N_Quanta: 50, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4704, N_Quanta: 50, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4705, N_Quanta: 2, epsilon: 0.68, NT_per_Second: 10, mem_slope: 0.2
Job: 4706, N_Quanta: 2, epsilon: 0.68, NT_per_Second: 25, mem_slope: 0.2
Job: 4707, N_Quanta: 2, epsilon: 0.68, NT_per_Second: 50, mem_slope: 0.2
Job: 4708, N_Quanta: 2, epsilon: 0.68, NT_per_Second: 100, mem_slope: 0.2
Job: 4709, N_Quanta: 2, epsilon: 0.68, NT_per_Second: 200, mem_slope: 0.2
Job: 4710, N_Quanta: 2, epsilon: 0.68, NT_per_Second: 400, mem_slope: 0.2
Job: 4711, N_Quanta: 3, epsilon: 0.68, NT_per_Second: 10, mem_slope: 0.2
Job: 4712, N_Quanta: 3, epsilon: 0.68, NT_per_Second: 25, mem_slope: 0.2
Job: 4713, N_Quanta: 3, epsilon: 0.68, NT_per_Second: 50, mem_slope: 0.2
Job: 4714, N_Quanta: 3, epsilon: 0.68, NT_per_Second: 100, mem_slope: 0.2
Job: 4715, N_Quanta: 3, epsilon: 0.68, NT_per_Second: 200, mem_slope: 0.2
Job: 4716, N_Quanta: 3, epsilon: 0.68, NT_per_Second: 400, mem_slope: 0.2
Job: 4717, N_Quanta: 4, epsilon: 0.68, NT_per_Second: 10, mem_slope: 0.2
Job: 4718, N_Quanta: 4, epsilon: 0.68, NT_per_Second: 25, mem_slope: 0.2
Job: 4719, N_Quanta: 4, epsilon: 0.68, NT_per_Second: 50, mem_slope: 0.2
Job: 4720, N_Quanta: 4, epsilon: 0.68, NT_per_Second: 100, mem_slope: 0.2
Job: 4721, N_Quanta: 4, epsilon: 0.68, NT_per_Second: 200, mem_slope: 0.2
Job: 4722, N_Quanta: 4, epsilon: 0.68, NT_per_Second: 400, mem_slope: 0.2
Job: 4723, N_Quanta: 5, epsilon: 0.68, NT_per_Second: 10, mem_slope: 0.2
Job: 4724, N_Quanta: 5, epsilon: 0.68, NT_per_Second: 25, mem_slope: 0.2
Job: 4725, N_Quanta: 5, epsilon: 0.68, NT_per_Second: 50, mem_slope: 0.2
Job: 4726, N_Quanta: 5, epsilon: 0.68, NT_per_Second: 100, mem_slope: 0.2
Job: 4727, N_Quanta: 5, epsilon: 0.68, NT_per_Second: 200, mem_slope: 0.2
Job: 4728, N_Quanta: 5, epsilon: 0.68, NT_per_Second: 400, mem_slope: 0.2
Job: 4729, N_Quanta: 6, epsilon: 0.68, NT_per_Second: 10, mem_slope: 0.2
Job: 4730, N_Quanta: 6, epsilon: 0.68, NT_per_Second: 25, mem_slope: 0.2
Job: 4731, N_Quanta: 6, epsilon: 0.68, NT_per_Second: 50, mem_slope: 0.2
Job: 4732, N_Quanta: 6, epsilon: 0.68, NT_per_Second: 100, mem_slope: 0.2
Job: 4733, N_Quanta: 6, epsilon: 0.68, NT_per_Second: 200, mem_slope: 0.2
Job: 4734, N_Quanta: 6, epsilon: 0.68, NT_per_Second: 400, mem_slope: 0.2
Job: 4735, N_Quanta: 7, epsilon: 0.68, NT_per_Second: 10, mem_slope: 0.2
Job: 4736, N_Quanta: 7, epsilon: 0.68, NT_per_Second: 25, mem_slope: 0.2
Job: 4737, N_Quanta: 7, epsilon: 0.68, NT_per_Second: 50, mem_slope: 0.2
Job: 4738, N_Quanta: 7, epsilon: 0.68, NT_per_Second: 100, mem_slope: 0.2
Job: 4739, N_Quanta: 7, epsilon: 0.68, NT_per_Second: 200, mem_slope: 0.2
