N_Jobs_Total: 3024
N_Runs: 275
Job: 2861, N_Quanta: 64, epsilon: 0.886, NT_per_Second: 1600, mem_slope: 0.8
Job: 2862, N_Quanta: 64, epsilon: 0.886, NT_per_Second: 3200, mem_slope: 0.8
Job: 2863, N_Quanta: 128, epsilon: 0.886, NT_per_Second: 12, mem_slope: 0.8
Job: 2864, N_Quanta: 128, epsilon: 0.886, NT_per_Second: 25, mem_slope: 0.8
Job: 2865, N_Quanta: 128, epsilon: 0.886, NT_per_Second: 50, mem_slope: 0.8
Job: 2866, N_Quanta: 128, epsilon: 0.886, NT_per_Second: 100, mem_slope: 0.8
Job: 2867, N_Quanta: 128, epsilon: 0.886, NT_per_Second: 200, mem_slope: 0.8
Job: 2868, N_Quanta: 128, epsilon: 0.886, NT_per_Second: 400, mem_slope: 0.8
Job: 2869, N_Quanta: 128, epsilon: 0.886, NT_per_Second: 800, mem_slope: 0.8
Job: 2870, N_Quanta: 128, epsilon: 0.886, NT_per_Second: 1600, mem_slope: 0.8
Job: 2871, N_Quanta: 128, epsilon: 0.886, NT_per_Second: 3200, mem_slope: 0.8
