N_Jobs_Total: 19502
N_Runs: 98
Job: 18401, N_Quanta: 39, epsilon: 0.065, NT_per_Second: 25, mem_slope: 0.2
Job: 18402, N_Quanta: 39, epsilon: 0.065, NT_per_Second: 50, mem_slope: 0.2
Job: 18403, N_Quanta: 40, epsilon: 0.065, NT_per_Second: 25, mem_slope: 0.2
Job: 18404, N_Quanta: 40, epsilon: 0.065, NT_per_Second: 50, mem_slope: 0.2
Job: 18405, N_Quanta: 41, epsilon: 0.065, NT_per_Second: 25, mem_slope: 0.2
Job: 18406, N_Quanta: 41, epsilon: 0.065, NT_per_Second: 50, mem_slope: 0.2
Job: 18407, N_Quanta: 42, epsilon: 0.065, NT_per_Second: 25, mem_slope: 0.2
Job: 18408, N_Quanta: 42, epsilon: 0.065, NT_per_Second: 50, mem_slope: 0.2
Job: 18409, N_Quanta: 43, epsilon: 0.065, NT_per_Second: 25, mem_slope: 0.2
Job: 18410, N_Quanta: 43, epsilon: 0.065, NT_per_Second: 50, mem_slope: 0.2
Job: 18411, N_Quanta: 44, epsilon: 0.065, NT_per_Second: 25, mem_slope: 0.2
Job: 18412, N_Quanta: 44, epsilon: 0.065, NT_per_Second: 50, mem_slope: 0.2
Job: 18413, N_Quanta: 45, epsilon: 0.065, NT_per_Second: 25, mem_slope: 0.2
Job: 18414, N_Quanta: 45, epsilon: 0.065, NT_per_Second: 50, mem_slope: 0.2
Job: 18415, N_Quanta: 46, epsilon: 0.065, NT_per_Second: 25, mem_slope: 0.2
Job: 18416, N_Quanta: 46, epsilon: 0.065, NT_per_Second: 50, mem_slope: 0.2
Job: 18417, N_Quanta: 47, epsilon: 0.065, NT_per_Second: 25, mem_slope: 0.2
Job: 18418, N_Quanta: 47, epsilon: 0.065, NT_per_Second: 50, mem_slope: 0.2
Job: 18419, N_Quanta: 48, epsilon: 0.065, NT_per_Second: 25, mem_slope: 0.2
Job: 18420, N_Quanta: 48, epsilon: 0.065, NT_per_Second: 50, mem_slope: 0.2
Job: 18421, N_Quanta: 49, epsilon: 0.065, NT_per_Second: 25, mem_slope: 0.2
Job: 18422, N_Quanta: 49, epsilon: 0.065, NT_per_Second: 50, mem_slope: 0.2
Job: 18423, N_Quanta: 50, epsilon: 0.065, NT_per_Second: 25, mem_slope: 0.2
Job: 18424, N_Quanta: 50, epsilon: 0.065, NT_per_Second: 50, mem_slope: 0.2
Job: 18425, N_Quanta: 2, epsilon: 0.06, NT_per_Second: 25, mem_slope: 0.2
Job: 18426, N_Quanta: 2, epsilon: 0.06, NT_per_Second: 50, mem_slope: 0.2
Job: 18427, N_Quanta: 3, epsilon: 0.06, NT_per_Second: 25, mem_slope: 0.2
Job: 18428, N_Quanta: 3, epsilon: 0.06, NT_per_Second: 50, mem_slope: 0.2
Job: 18429, N_Quanta: 4, epsilon: 0.06, NT_per_Second: 25, mem_slope: 0.2
Job: 18430, N_Quanta: 4, epsilon: 0.06, NT_per_Second: 50, mem_slope: 0.2
Job: 18431, N_Quanta: 5, epsilon: 0.06, NT_per_Second: 25, mem_slope: 0.2
Job: 18432, N_Quanta: 5, epsilon: 0.06, NT_per_Second: 50, mem_slope: 0.2
Job: 18433, N_Quanta: 6, epsilon: 0.06, NT_per_Second: 25, mem_slope: 0.2
Job: 18434, N_Quanta: 6, epsilon: 0.06, NT_per_Second: 50, mem_slope: 0.2
Job: 18435, N_Quanta: 7, epsilon: 0.06, NT_per_Second: 25, mem_slope: 0.2
