N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
107.02 secs, 2 evals, 1 steps, fitness=2.040844342
260.92 secs, 4 evals, 2 steps, improv/step: 0.500 (last = 1.0000), fitness=2.040844342
419.25 secs, 6 evals, 3 steps, improv/step: 0.333 (last = 0.0000), fitness=2.040844342
484.07 secs, 8 evals, 4 steps, improv/step: 0.250 (last = 0.0000), fitness=2.040844342
646.17 secs, 10 evals, 5 steps, improv/step: 0.200 (last = 0.0000), fitness=2.040844342
760.27 secs, 12 evals, 6 steps, improv/step: 0.167 (last = 0.0000), fitness=1.793854133
912.23 secs, 14 evals, 7 steps, improv/step: 0.143 (last = 0.0000), fitness=1.793854133
1070.96 secs, 16 evals, 8 steps, improv/step: 0.250 (last = 1.0000), fitness=1.793854133
1211.12 secs, 18 evals, 9 steps, improv/step: 0.222 (last = 0.0000), fitness=1.793854133
1342.19 secs, 20 evals, 10 steps, improv/step: 0.300 (last = 1.0000), fitness=1.793854133
1501.50 secs, 22 evals, 11 steps, improv/step: 0.273 (last = 0.0000), fitness=1.793854133
1646.68 secs, 24 evals, 12 steps, improv/step: 0.333 (last = 1.0000), fitness=1.793854133
1796.98 secs, 26 evals, 13 steps, improv/step: 0.308 (last = 0.0000), fitness=1.793854133
1944.92 secs, 28 evals, 14 steps, improv/step: 0.286 (last = 0.0000), fitness=1.793854133
2074.42 secs, 30 evals, 15 steps, improv/step: 0.267 (last = 0.0000), fitness=1.793854133
2228.36 secs, 32 evals, 16 steps, improv/step: 0.312 (last = 1.0000), fitness=1.793854133
2377.95 secs, 34 evals, 17 steps, improv/step: 0.294 (last = 0.0000), fitness=1.793854133
2534.60 secs, 36 evals, 18 steps, improv/step: 0.333 (last = 1.0000), fitness=1.793854133
2697.97 secs, 38 evals, 19 steps, improv/step: 0.368 (last = 1.0000), fitness=1.793854133
2819.08 secs, 40 evals, 20 steps, improv/step: 0.350 (last = 0.0000), fitness=1.793854133
2983.11 secs, 42 evals, 21 steps, improv/step: 0.333 (last = 0.0000), fitness=1.793854133
3077.53 secs, 44 evals, 22 steps, improv/step: 0.364 (last = 1.0000), fitness=1.793854133
3156.01 secs, 45 evals, 23 steps, improv/step: 0.348 (last = 0.0000), fitness=1.793854133
3228.80 secs, 46 evals, 24 steps, improv/step: 0.333 (last = 0.0000), fitness=1.793854133
3357.85 secs, 48 evals, 25 steps, improv/step: 0.320 (last = 0.0000), fitness=1.793854133
3382.98 secs, 49 evals, 26 steps, improv/step: 0.346 (last = 1.0000), fitness=1.793854133
3511.98 secs, 51 evals, 27 steps, improv/step: 0.370 (last = 1.0000), fitness=1.793854133
3664.31 secs, 53 evals, 28 steps, improv/step: 0.357 (last = 0.0000), fitness=1.793854133
3809.82 secs, 55 evals, 29 steps, improv/step: 0.379 (last = 1.0000), fitness=1.793854133
3906.90 secs, 57 evals, 30 steps, improv/step: 0.367 (last = 0.0000), fitness=1.793854133
3958.11 secs, 58 evals, 31 steps, improv/step: 0.387 (last = 1.0000), fitness=1.793854133
4078.26 secs, 60 evals, 32 steps, improv/step: 0.375 (last = 0.0000), fitness=1.727554934
4106.26 secs, 61 evals, 33 steps, improv/step: 0.364 (last = 0.0000), fitness=1.727554934
4227.48 secs, 63 evals, 34 steps, improv/step: 0.382 (last = 1.0000), fitness=1.727554934
4330.78 secs, 65 evals, 35 steps, improv/step: 0.400 (last = 1.0000), fitness=1.727554934
4477.65 secs, 67 evals, 36 steps, improv/step: 0.389 (last = 0.0000), fitness=1.727554934
4579.99 secs, 69 evals, 37 steps, improv/step: 0.405 (last = 1.0000), fitness=1.727554934
4683.34 secs, 71 evals, 38 steps, improv/step: 0.395 (last = 0.0000), fitness=1.727554934
4816.48 secs, 73 evals, 39 steps, improv/step: 0.410 (last = 1.0000), fitness=1.727554934
4945.91 secs, 75 evals, 40 steps, improv/step: 0.425 (last = 1.0000), fitness=1.727554934
5083.40 secs, 77 evals, 41 steps, improv/step: 0.439 (last = 1.0000), fitness=1.727554934
5180.54 secs, 79 evals, 42 steps, improv/step: 0.429 (last = 0.0000), fitness=1.727554934
5291.17 secs, 81 evals, 43 steps, improv/step: 0.442 (last = 1.0000), fitness=1.727554934
5422.00 secs, 83 evals, 44 steps, improv/step: 0.455 (last = 1.0000), fitness=1.727554934
5506.27 secs, 85 evals, 45 steps, improv/step: 0.467 (last = 1.0000), fitness=1.727554934
5657.02 secs, 87 evals, 46 steps, improv/step: 0.478 (last = 1.0000), fitness=1.727554934
5729.35 secs, 88 evals, 47 steps, improv/step: 0.468 (last = 0.0000), fitness=1.727554934
5805.23 secs, 89 evals, 48 steps, improv/step: 0.458 (last = 0.0000), fitness=1.727554934
5878.58 secs, 90 evals, 49 steps, improv/step: 0.449 (last = 0.0000), fitness=1.727554934
5983.99 secs, 92 evals, 50 steps, improv/step: 0.460 (last = 1.0000), fitness=1.727554934
6141.11 secs, 94 evals, 51 steps, improv/step: 0.451 (last = 0.0000), fitness=1.727554934
6268.67 secs, 96 evals, 52 steps, improv/step: 0.442 (last = 0.0000), fitness=1.727554934
6414.24 secs, 98 evals, 53 steps, improv/step: 0.434 (last = 0.0000), fitness=1.727554934
6554.44 secs, 100 evals, 54 steps, improv/step: 0.426 (last = 0.0000), fitness=1.727554934
6603.96 secs, 102 evals, 55 steps, improv/step: 0.418 (last = 0.0000), fitness=1.727554934
6707.14 secs, 104 evals, 56 steps, improv/step: 0.429 (last = 1.0000), fitness=1.727554934
6781.03 secs, 105 evals, 57 steps, improv/step: 0.421 (last = 0.0000), fitness=1.727554934
6858.51 secs, 106 evals, 58 steps, improv/step: 0.414 (last = 0.0000), fitness=1.727554934
6911.86 secs, 107 evals, 59 steps, improv/step: 0.424 (last = 1.0000), fitness=1.727554934
