N_Jobs_Total: 3024
N_Runs: 275
Job: 639, N_Quanta: 128, epsilon: 0.949, NT_per_Second: 3200, mem_slope: 0.025
Job: 640, N_Quanta: 256, epsilon: 0.949, NT_per_Second: 12, mem_slope: 0.025
Job: 641, N_Quanta: 256, epsilon: 0.949, NT_per_Second: 25, mem_slope: 0.025
Job: 642, N_Quanta: 256, epsilon: 0.949, NT_per_Second: 50, mem_slope: 0.025
Job: 643, N_Quanta: 256, epsilon: 0.949, NT_per_Second: 100, mem_slope: 0.025
Job: 644, N_Quanta: 256, epsilon: 0.949, NT_per_Second: 200, mem_slope: 0.025
Job: 645, N_Quanta: 256, epsilon: 0.949, NT_per_Second: 400, mem_slope: 0.025
Job: 646, N_Quanta: 256, epsilon: 0.949, NT_per_Second: 800, mem_slope: 0.025
Job: 647, N_Quanta: 256, epsilon: 0.949, NT_per_Second: 1600, mem_slope: 0.025
Job: 648, N_Quanta: 256, epsilon: 0.949, NT_per_Second: 3200, mem_slope: 0.025
Job: 649, N_Quanta: 2, epsilon: 0.886, NT_per_Second: 12, mem_slope: 0.025
