N_Jobs_Total: 3024
N_Runs: 275
Job: 760, N_Quanta: 32, epsilon: 0.744, NT_per_Second: 100, mem_slope: 0.025
Job: 761, N_Quanta: 32, epsilon: 0.744, NT_per_Second: 200, mem_slope: 0.025
Job: 762, N_Quanta: 32, epsilon: 0.744, NT_per_Second: 400, mem_slope: 0.025
Job: 763, N_Quanta: 32, epsilon: 0.744, NT_per_Second: 800, mem_slope: 0.025
Job: 764, N_Quanta: 32, epsilon: 0.744, NT_per_Second: 1600, mem_slope: 0.025
Job: 765, N_Quanta: 32, epsilon: 0.744, NT_per_Second: 3200, mem_slope: 0.025
Job: 766, N_Quanta: 64, epsilon: 0.744, NT_per_Second: 12, mem_slope: 0.025
Job: 767, N_Quanta: 64, epsilon: 0.744, NT_per_Second: 25, mem_slope: 0.025
Job: 768, N_Quanta: 64, epsilon: 0.744, NT_per_Second: 50, mem_slope: 0.025
Job: 769, N_Quanta: 64, epsilon: 0.744, NT_per_Second: 100, mem_slope: 0.025
Job: 770, N_Quanta: 64, epsilon: 0.744, NT_per_Second: 200, mem_slope: 0.025
