N_Jobs_Total: 3024
N_Runs: 275
Job: 2025, N_Quanta: 2, epsilon: 0.744, NT_per_Second: 3200, mem_slope: 0.2
Job: 2026, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 12, mem_slope: 0.2
Job: 2027, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 25, mem_slope: 0.2
Job: 2028, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 50, mem_slope: 0.2
Job: 2029, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 100, mem_slope: 0.2
Job: 2030, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 200, mem_slope: 0.2
Job: 2031, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 400, mem_slope: 0.2
Job: 2032, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 800, mem_slope: 0.2
Job: 2033, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 1600, mem_slope: 0.2
Job: 2034, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 3200, mem_slope: 0.2
Job: 2035, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 12, mem_slope: 0.2
