N_Jobs_Total: 3024
N_Runs: 275
Job: 111, N_Quanta: 32, epsilon: 0.978, NT_per_Second: 50, mem_slope: 0.0125
Job: 112, N_Quanta: 32, epsilon: 0.978, NT_per_Second: 100, mem_slope: 0.0125
Job: 113, N_Quanta: 32, epsilon: 0.978, NT_per_Second: 200, mem_slope: 0.0125
Job: 114, N_Quanta: 32, epsilon: 0.978, NT_per_Second: 400, mem_slope: 0.0125
Job: 115, N_Quanta: 32, epsilon: 0.978, NT_per_Second: 800, mem_slope: 0.0125
Job: 116, N_Quanta: 32, epsilon: 0.978, NT_per_Second: 1600, mem_slope: 0.0125
Job: 117, N_Quanta: 32, epsilon: 0.978, NT_per_Second: 3200, mem_slope: 0.0125
Job: 118, N_Quanta: 64, epsilon: 0.978, NT_per_Second: 12, mem_slope: 0.0125
Job: 119, N_Quanta: 64, epsilon: 0.978, NT_per_Second: 25, mem_slope: 0.0125
Job: 120, N_Quanta: 64, epsilon: 0.978, NT_per_Second: 50, mem_slope: 0.0125
Job: 121, N_Quanta: 64, epsilon: 0.978, NT_per_Second: 100, mem_slope: 0.0125
