N_Jobs_Total: 2450
N_Runs: 82
Job: 2251, N_Quanta: 47, epsilon: 0.1, NT_per_Second: 800, mem_slope: 0.2
Job: 2252, N_Quanta: 48, epsilon: 0.1, NT_per_Second: 800, mem_slope: 0.2
Job: 2253, N_Quanta: 49, epsilon: 0.1, NT_per_Second: 800, mem_slope: 0.2
Job: 2254, N_Quanta: 50, epsilon: 0.1, NT_per_Second: 800, mem_slope: 0.2
Job: 2255, N_Quanta: 2, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2256, N_Quanta: 3, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2257, N_Quanta: 4, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2258, N_Quanta: 5, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2259, N_Quanta: 6, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2260, N_Quanta: 7, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2261, N_Quanta: 8, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2262, N_Quanta: 9, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2263, N_Quanta: 10, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2264, N_Quanta: 11, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2265, N_Quanta: 12, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2266, N_Quanta: 13, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2267, N_Quanta: 14, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2268, N_Quanta: 15, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2269, N_Quanta: 16, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2270, N_Quanta: 17, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2271, N_Quanta: 18, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2272, N_Quanta: 19, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2273, N_Quanta: 20, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2274, N_Quanta: 21, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2275, N_Quanta: 22, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2276, N_Quanta: 23, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2277, N_Quanta: 24, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2278, N_Quanta: 25, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2279, N_Quanta: 26, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
Job: 2280, N_Quanta: 27, epsilon: 0.08, NT_per_Second: 800, mem_slope: 0.2
