N_Jobs_Total: 14700
N_Runs: 60
Job: 6126, N_Quanta: 42, epsilon: 0.6, NT_per_Second: 400, mem_slope: 0.2
Job: 6127, N_Quanta: 43, epsilon: 0.6, NT_per_Second: 10, mem_slope: 0.2
Job: 6128, N_Quanta: 43, epsilon: 0.6, NT_per_Second: 25, mem_slope: 0.2
Job: 6129, N_Quanta: 43, epsilon: 0.6, NT_per_Second: 50, mem_slope: 0.2
Job: 6130, N_Quanta: 43, epsilon: 0.6, NT_per_Second: 100, mem_slope: 0.2
Job: 6131, N_Quanta: 43, epsilon: 0.6, NT_per_Second: 200, mem_slope: 0.2
Job: 6132, N_Quanta: 43, epsilon: 0.6, NT_per_Second: 400, mem_slope: 0.2
Job: 6133, N_Quanta: 44, epsilon: 0.6, NT_per_Second: 10, mem_slope: 0.2
Job: 6134, N_Quanta: 44, epsilon: 0.6, NT_per_Second: 25, mem_slope: 0.2
Job: 6135, N_Quanta: 44, epsilon: 0.6, NT_per_Second: 50, mem_slope: 0.2
Job: 6136, N_Quanta: 44, epsilon: 0.6, NT_per_Second: 100, mem_slope: 0.2
Job: 6137, N_Quanta: 44, epsilon: 0.6, NT_per_Second: 200, mem_slope: 0.2
Job: 6138, N_Quanta: 44, epsilon: 0.6, NT_per_Second: 400, mem_slope: 0.2
Job: 6139, N_Quanta: 45, epsilon: 0.6, NT_per_Second: 10, mem_slope: 0.2
Job: 6140, N_Quanta: 45, epsilon: 0.6, NT_per_Second: 25, mem_slope: 0.2
Job: 6141, N_Quanta: 45, epsilon: 0.6, NT_per_Second: 50, mem_slope: 0.2
Job: 6142, N_Quanta: 45, epsilon: 0.6, NT_per_Second: 100, mem_slope: 0.2
Job: 6143, N_Quanta: 45, epsilon: 0.6, NT_per_Second: 200, mem_slope: 0.2
Job: 6144, N_Quanta: 45, epsilon: 0.6, NT_per_Second: 400, mem_slope: 0.2
Job: 6145, N_Quanta: 46, epsilon: 0.6, NT_per_Second: 10, mem_slope: 0.2
Job: 6146, N_Quanta: 46, epsilon: 0.6, NT_per_Second: 25, mem_slope: 0.2
Job: 6147, N_Quanta: 46, epsilon: 0.6, NT_per_Second: 50, mem_slope: 0.2
Job: 6148, N_Quanta: 46, epsilon: 0.6, NT_per_Second: 100, mem_slope: 0.2
Job: 6149, N_Quanta: 46, epsilon: 0.6, NT_per_Second: 200, mem_slope: 0.2
Job: 6150, N_Quanta: 46, epsilon: 0.6, NT_per_Second: 400, mem_slope: 0.2
Job: 6151, N_Quanta: 47, epsilon: 0.6, NT_per_Second: 10, mem_slope: 0.2
Job: 6152, N_Quanta: 47, epsilon: 0.6, NT_per_Second: 25, mem_slope: 0.2
Job: 6153, N_Quanta: 47, epsilon: 0.6, NT_per_Second: 50, mem_slope: 0.2
Job: 6154, N_Quanta: 47, epsilon: 0.6, NT_per_Second: 100, mem_slope: 0.2
Job: 6155, N_Quanta: 47, epsilon: 0.6, NT_per_Second: 200, mem_slope: 0.2
Job: 6156, N_Quanta: 47, epsilon: 0.6, NT_per_Second: 400, mem_slope: 0.2
Job: 6157, N_Quanta: 48, epsilon: 0.6, NT_per_Second: 10, mem_slope: 0.2
Job: 6158, N_Quanta: 48, epsilon: 0.6, NT_per_Second: 25, mem_slope: 0.2
Job: 6159, N_Quanta: 48, epsilon: 0.6, NT_per_Second: 50, mem_slope: 0.2
Job: 6160, N_Quanta: 48, epsilon: 0.6, NT_per_Second: 100, mem_slope: 0.2
Job: 6161, N_Quanta: 48, epsilon: 0.6, NT_per_Second: 200, mem_slope: 0.2
Job: 6162, N_Quanta: 48, epsilon: 0.6, NT_per_Second: 400, mem_slope: 0.2
Job: 6163, N_Quanta: 49, epsilon: 0.6, NT_per_Second: 10, mem_slope: 0.2
Job: 6164, N_Quanta: 49, epsilon: 0.6, NT_per_Second: 25, mem_slope: 0.2
Job: 6165, N_Quanta: 49, epsilon: 0.6, NT_per_Second: 50, mem_slope: 0.2
Job: 6166, N_Quanta: 49, epsilon: 0.6, NT_per_Second: 100, mem_slope: 0.2
Job: 6167, N_Quanta: 49, epsilon: 0.6, NT_per_Second: 200, mem_slope: 0.2
Job: 6168, N_Quanta: 49, epsilon: 0.6, NT_per_Second: 400, mem_slope: 0.2
Job: 6169, N_Quanta: 50, epsilon: 0.6, NT_per_Second: 10, mem_slope: 0.2
Job: 6170, N_Quanta: 50, epsilon: 0.6, NT_per_Second: 25, mem_slope: 0.2
Job: 6171, N_Quanta: 50, epsilon: 0.6, NT_per_Second: 50, mem_slope: 0.2
Job: 6172, N_Quanta: 50, epsilon: 0.6, NT_per_Second: 100, mem_slope: 0.2
Job: 6173, N_Quanta: 50, epsilon: 0.6, NT_per_Second: 200, mem_slope: 0.2
Job: 6174, N_Quanta: 50, epsilon: 0.6, NT_per_Second: 400, mem_slope: 0.2
Job: 6175, N_Quanta: 2, epsilon: 0.58, NT_per_Second: 10, mem_slope: 0.2
Job: 6176, N_Quanta: 2, epsilon: 0.58, NT_per_Second: 25, mem_slope: 0.2
Job: 6177, N_Quanta: 2, epsilon: 0.58, NT_per_Second: 50, mem_slope: 0.2
Job: 6178, N_Quanta: 2, epsilon: 0.58, NT_per_Second: 100, mem_slope: 0.2
Job: 6179, N_Quanta: 2, epsilon: 0.58, NT_per_Second: 200, mem_slope: 0.2
Job: 6180, N_Quanta: 2, epsilon: 0.58, NT_per_Second: 400, mem_slope: 0.2
Job: 6181, N_Quanta: 3, epsilon: 0.58, NT_per_Second: 10, mem_slope: 0.2
Job: 6182, N_Quanta: 3, epsilon: 0.58, NT_per_Second: 25, mem_slope: 0.2
Job: 6183, N_Quanta: 3, epsilon: 0.58, NT_per_Second: 50, mem_slope: 0.2
Job: 6184, N_Quanta: 3, epsilon: 0.58, NT_per_Second: 100, mem_slope: 0.2
Job: 6185, N_Quanta: 3, epsilon: 0.58, NT_per_Second: 200, mem_slope: 0.2
Job: 6186, N_Quanta: 3, epsilon: 0.58, NT_per_Second: 400, mem_slope: 0.2
Job: 6187, N_Quanta: 4, epsilon: 0.58, NT_per_Second: 10, mem_slope: 0.2
Job: 6188, N_Quanta: 4, epsilon: 0.58, NT_per_Second: 25, mem_slope: 0.2
Job: 6189, N_Quanta: 4, epsilon: 0.58, NT_per_Second: 50, mem_slope: 0.2
Job: 6190, N_Quanta: 4, epsilon: 0.58, NT_per_Second: 100, mem_slope: 0.2
Job: 6191, N_Quanta: 4, epsilon: 0.58, NT_per_Second: 200, mem_slope: 0.2
Job: 6192, N_Quanta: 4, epsilon: 0.58, NT_per_Second: 400, mem_slope: 0.2
Job: 6193, N_Quanta: 5, epsilon: 0.58, NT_per_Second: 10, mem_slope: 0.2
Job: 6194, N_Quanta: 5, epsilon: 0.58, NT_per_Second: 25, mem_slope: 0.2
Job: 6195, N_Quanta: 5, epsilon: 0.58, NT_per_Second: 50, mem_slope: 0.2
Job: 6196, N_Quanta: 5, epsilon: 0.58, NT_per_Second: 100, mem_slope: 0.2
Job: 6197, N_Quanta: 5, epsilon: 0.58, NT_per_Second: 200, mem_slope: 0.2
Job: 6198, N_Quanta: 5, epsilon: 0.58, NT_per_Second: 400, mem_slope: 0.2
Job: 6199, N_Quanta: 6, epsilon: 0.58, NT_per_Second: 10, mem_slope: 0.2
Job: 6200, N_Quanta: 6, epsilon: 0.58, NT_per_Second: 25, mem_slope: 0.2
Job: 6201, N_Quanta: 6, epsilon: 0.58, NT_per_Second: 50, mem_slope: 0.2
Job: 6202, N_Quanta: 6, epsilon: 0.58, NT_per_Second: 100, mem_slope: 0.2
Job: 6203, N_Quanta: 6, epsilon: 0.58, NT_per_Second: 200, mem_slope: 0.2
Job: 6204, N_Quanta: 6, epsilon: 0.58, NT_per_Second: 400, mem_slope: 0.2
Job: 6205, N_Quanta: 7, epsilon: 0.58, NT_per_Second: 10, mem_slope: 0.2
Job: 6206, N_Quanta: 7, epsilon: 0.58, NT_per_Second: 25, mem_slope: 0.2
Job: 6207, N_Quanta: 7, epsilon: 0.58, NT_per_Second: 50, mem_slope: 0.2
Job: 6208, N_Quanta: 7, epsilon: 0.58, NT_per_Second: 100, mem_slope: 0.2
Job: 6209, N_Quanta: 7, epsilon: 0.58, NT_per_Second: 200, mem_slope: 0.2
Job: 6210, N_Quanta: 7, epsilon: 0.58, NT_per_Second: 400, mem_slope: 0.2
Job: 6211, N_Quanta: 8, epsilon: 0.58, NT_per_Second: 10, mem_slope: 0.2
Job: 6212, N_Quanta: 8, epsilon: 0.58, NT_per_Second: 25, mem_slope: 0.2
Job: 6213, N_Quanta: 8, epsilon: 0.58, NT_per_Second: 50, mem_slope: 0.2
Job: 6214, N_Quanta: 8, epsilon: 0.58, NT_per_Second: 100, mem_slope: 0.2
Job: 6215, N_Quanta: 8, epsilon: 0.58, NT_per_Second: 200, mem_slope: 0.2
Job: 6216, N_Quanta: 8, epsilon: 0.58, NT_per_Second: 400, mem_slope: 0.2
Job: 6217, N_Quanta: 9, epsilon: 0.58, NT_per_Second: 10, mem_slope: 0.2
Job: 6218, N_Quanta: 9, epsilon: 0.58, NT_per_Second: 25, mem_slope: 0.2
Job: 6219, N_Quanta: 9, epsilon: 0.58, NT_per_Second: 50, mem_slope: 0.2
Job: 6220, N_Quanta: 9, epsilon: 0.58, NT_per_Second: 100, mem_slope: 0.2
Job: 6221, N_Quanta: 9, epsilon: 0.58, NT_per_Second: 200, mem_slope: 0.2
Job: 6222, N_Quanta: 9, epsilon: 0.58, NT_per_Second: 400, mem_slope: 0.2
Job: 6223, N_Quanta: 10, epsilon: 0.58, NT_per_Second: 10, mem_slope: 0.2
Job: 6224, N_Quanta: 10, epsilon: 0.58, NT_per_Second: 25, mem_slope: 0.2
Job: 6225, N_Quanta: 10, epsilon: 0.58, NT_per_Second: 50, mem_slope: 0.2
Job: 6226, N_Quanta: 10, epsilon: 0.58, NT_per_Second: 100, mem_slope: 0.2
Job: 6227, N_Quanta: 10, epsilon: 0.58, NT_per_Second: 200, mem_slope: 0.2
Job: 6228, N_Quanta: 10, epsilon: 0.58, NT_per_Second: 400, mem_slope: 0.2
Job: 6229, N_Quanta: 11, epsilon: 0.58, NT_per_Second: 10, mem_slope: 0.2
Job: 6230, N_Quanta: 11, epsilon: 0.58, NT_per_Second: 25, mem_slope: 0.2
Job: 6231, N_Quanta: 11, epsilon: 0.58, NT_per_Second: 50, mem_slope: 0.2
Job: 6232, N_Quanta: 11, epsilon: 0.58, NT_per_Second: 100, mem_slope: 0.2
Job: 6233, N_Quanta: 11, epsilon: 0.58, NT_per_Second: 200, mem_slope: 0.2
Job: 6234, N_Quanta: 11, epsilon: 0.58, NT_per_Second: 400, mem_slope: 0.2
Job: 6235, N_Quanta: 12, epsilon: 0.58, NT_per_Second: 10, mem_slope: 0.2
Job: 6236, N_Quanta: 12, epsilon: 0.58, NT_per_Second: 25, mem_slope: 0.2
Job: 6237, N_Quanta: 12, epsilon: 0.58, NT_per_Second: 50, mem_slope: 0.2
Job: 6238, N_Quanta: 12, epsilon: 0.58, NT_per_Second: 100, mem_slope: 0.2
Job: 6239, N_Quanta: 12, epsilon: 0.58, NT_per_Second: 200, mem_slope: 0.2
Job: 6240, N_Quanta: 12, epsilon: 0.58, NT_per_Second: 400, mem_slope: 0.2
Job: 6241, N_Quanta: 13, epsilon: 0.58, NT_per_Second: 10, mem_slope: 0.2
Job: 6242, N_Quanta: 13, epsilon: 0.58, NT_per_Second: 25, mem_slope: 0.2
