N_Jobs_Total: 2450
N_Runs: 82
Job: 1231, N_Quanta: 7, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1232, N_Quanta: 8, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1233, N_Quanta: 9, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1234, N_Quanta: 10, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1235, N_Quanta: 11, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1236, N_Quanta: 12, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1237, N_Quanta: 13, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1238, N_Quanta: 14, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1239, N_Quanta: 15, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1240, N_Quanta: 16, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1241, N_Quanta: 17, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1242, N_Quanta: 18, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1243, N_Quanta: 19, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1244, N_Quanta: 20, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1245, N_Quanta: 21, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1246, N_Quanta: 22, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1247, N_Quanta: 23, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1248, N_Quanta: 24, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1249, N_Quanta: 25, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1250, N_Quanta: 26, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1251, N_Quanta: 27, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1252, N_Quanta: 28, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1253, N_Quanta: 29, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1254, N_Quanta: 30, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1255, N_Quanta: 31, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1256, N_Quanta: 32, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1257, N_Quanta: 33, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1258, N_Quanta: 34, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1259, N_Quanta: 35, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
Job: 1260, N_Quanta: 36, epsilon: 0.5, NT_per_Second: 800, mem_slope: 0.2
