N_Jobs_Total: 2450
N_Runs: 82
Job: 2431, N_Quanta: 31, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2432, N_Quanta: 32, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2433, N_Quanta: 33, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2434, N_Quanta: 34, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2435, N_Quanta: 35, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2436, N_Quanta: 36, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2437, N_Quanta: 37, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2438, N_Quanta: 38, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2439, N_Quanta: 39, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2440, N_Quanta: 40, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2441, N_Quanta: 41, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2442, N_Quanta: 42, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2443, N_Quanta: 43, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2444, N_Quanta: 44, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2445, N_Quanta: 45, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2446, N_Quanta: 46, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2447, N_Quanta: 47, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2448, N_Quanta: 48, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2449, N_Quanta: 49, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
Job: 2450, N_Quanta: 50, epsilon: 0.02, NT_per_Second: 800, mem_slope: 0.2
