N_Jobs_Total: 19502
N_Runs: 98
Job: 12001, N_Quanta: 24, epsilon: 0.39, NT_per_Second: 25, mem_slope: 0.2
Job: 12002, N_Quanta: 24, epsilon: 0.39, NT_per_Second: 50, mem_slope: 0.2
Job: 12003, N_Quanta: 25, epsilon: 0.39, NT_per_Second: 25, mem_slope: 0.2
Job: 12004, N_Quanta: 25, epsilon: 0.39, NT_per_Second: 50, mem_slope: 0.2
Job: 12005, N_Quanta: 26, epsilon: 0.39, NT_per_Second: 25, mem_slope: 0.2
Job: 12006, N_Quanta: 26, epsilon: 0.39, NT_per_Second: 50, mem_slope: 0.2
Job: 12007, N_Quanta: 27, epsilon: 0.39, NT_per_Second: 25, mem_slope: 0.2
Job: 12008, N_Quanta: 27, epsilon: 0.39, NT_per_Second: 50, mem_slope: 0.2
Job: 12009, N_Quanta: 28, epsilon: 0.39, NT_per_Second: 25, mem_slope: 0.2
Job: 12010, N_Quanta: 28, epsilon: 0.39, NT_per_Second: 50, mem_slope: 0.2
Job: 12011, N_Quanta: 29, epsilon: 0.39, NT_per_Second: 25, mem_slope: 0.2
Job: 12012, N_Quanta: 29, epsilon: 0.39, NT_per_Second: 50, mem_slope: 0.2
Job: 12013, N_Quanta: 30, epsilon: 0.39, NT_per_Second: 25, mem_slope: 0.2
Job: 12014, N_Quanta: 30, epsilon: 0.39, NT_per_Second: 50, mem_slope: 0.2
Job: 12015, N_Quanta: 31, epsilon: 0.39, NT_per_Second: 25, mem_slope: 0.2
Job: 12016, N_Quanta: 31, epsilon: 0.39, NT_per_Second: 50, mem_slope: 0.2
Job: 12017, N_Quanta: 32, epsilon: 0.39, NT_per_Second: 25, mem_slope: 0.2
Job: 12018, N_Quanta: 32, epsilon: 0.39, NT_per_Second: 50, mem_slope: 0.2
Job: 12019, N_Quanta: 33, epsilon: 0.39, NT_per_Second: 25, mem_slope: 0.2
Job: 12020, N_Quanta: 33, epsilon: 0.39, NT_per_Second: 50, mem_slope: 0.2
Job: 12021, N_Quanta: 34, epsilon: 0.39, NT_per_Second: 25, mem_slope: 0.2
Job: 12022, N_Quanta: 34, epsilon: 0.39, NT_per_Second: 50, mem_slope: 0.2
Job: 12023, N_Quanta: 35, epsilon: 0.39, NT_per_Second: 25, mem_slope: 0.2
Job: 12024, N_Quanta: 35, epsilon: 0.39, NT_per_Second: 50, mem_slope: 0.2
