N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
206.76 secs, 2 evals, 1 steps, fitness=10.423028643
349.35 secs, 4 evals, 2 steps, fitness=9.718641941
8665.37 secs, 111 evals, 64 steps, improv/step: 0.500 (last = 1.0000), fitness=3.824436963
8753.41 secs, 112 evals, 65 steps, improv/step: 0.492 (last = 0.0000), fitness=3.824436963
8808.23 secs, 113 evals, 66 steps, improv/step: 0.500 (last = 1.0000), fitness=3.824436963
8944.95 secs, 115 evals, 67 steps, improv/step: 0.507 (last = 1.0000), fitness=3.824436963
9069.17 secs, 117 evals, 68 steps, improv/step: 0.500 (last = 0.0000), fitness=2.451978781
9162.64 secs, 118 evals, 69 steps, improv/step: 0.493 (last = 0.0000), fitness=2.451978781
9245.47 secs, 119 evals, 70 steps, improv/step: 0.500 (last = 1.0000), fitness=2.451978781
9387.30 secs, 121 evals, 71 steps, improv/step: 0.493 (last = 0.0000), fitness=2.451978781
9561.01 secs, 123 evals, 72 steps, improv/step: 0.500 (last = 1.0000), fitness=2.451978781
9644.51 secs, 124 evals, 73 steps, improv/step: 0.493 (last = 0.0000), fitness=2.451978781
9672.81 secs, 125 evals, 74 steps, improv/step: 0.486 (last = 0.0000), fitness=2.451978781
9853.63 secs, 127 evals, 75 steps, improv/step: 0.493 (last = 1.0000), fitness=2.451978781
10011.65 secs, 129 evals, 76 steps, improv/step: 0.487 (last = 0.0000), fitness=2.451978781
10091.92 secs, 130 evals, 77 steps, improv/step: 0.494 (last = 1.0000), fitness=2.451978781
10167.54 secs, 131 evals, 78 steps, improv/step: 0.500 (last = 1.0000), fitness=2.451978781
10324.66 secs, 133 evals, 79 steps, improv/step: 0.494 (last = 0.0000), fitness=2.451978781
10412.84 secs, 134 evals, 80 steps, improv/step: 0.487 (last = 0.0000), fitness=2.451978781
10576.79 secs, 136 evals, 81 steps, improv/step: 0.481 (last = 0.0000), fitness=2.451978781
10646.19 secs, 137 evals, 82 steps, improv/step: 0.488 (last = 1.0000), fitness=2.451978781
10731.94 secs, 138 evals, 83 steps, improv/step: 0.482 (last = 0.0000), fitness=2.451978781

Optimization stopped after 84 steps and 10811.86 seconds
Termination reason: Max time (10800.0 s) reached
Steps per second = 0.01
Function evals per second = 0.01
Improvements/step = Inf
Total function evaluations = 139


Best candidate found: [0.665231, 0.986599]

Fitness: 2.451978781

