N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
107.95 secs, 2 evals, 1 steps, fitness=7.938664413
252.27 secs, 4 evals, 2 steps, fitness=7.938664413
407.73 secs, 6 evals, 3 steps, fitness=7.938664413
542.61 secs, 8 evals, 4 steps, fitness=7.938664413
7498.23 secs, 119 evals, 65 steps, improv/step: 0.508 (last = 0.0000), fitness=1.343269930
7547.47 secs, 120 evals, 66 steps, improv/step: 0.515 (last = 1.0000), fitness=1.343269930
7569.16 secs, 121 evals, 67 steps, improv/step: 0.507 (last = 0.0000), fitness=1.343269930
7652.59 secs, 123 evals, 68 steps, improv/step: 0.515 (last = 1.0000), fitness=1.343269930
7722.07 secs, 124 evals, 69 steps, improv/step: 0.507 (last = 0.0000), fitness=1.343269930
7760.13 secs, 125 evals, 70 steps, improv/step: 0.514 (last = 1.0000), fitness=1.343269930
7896.98 secs, 127 evals, 71 steps, improv/step: 0.521 (last = 1.0000), fitness=1.343269930
7993.63 secs, 129 evals, 72 steps, improv/step: 0.528 (last = 1.0000), fitness=0.629258942
8025.99 secs, 130 evals, 73 steps, improv/step: 0.534 (last = 1.0000), fitness=0.629258942
8046.90 secs, 131 evals, 74 steps, improv/step: 0.541 (last = 1.0000), fitness=0.629258942
8097.21 secs, 132 evals, 75 steps, improv/step: 0.533 (last = 0.0000), fitness=0.629258942
8165.81 secs, 133 evals, 76 steps, improv/step: 0.526 (last = 0.0000), fitness=0.629258942
8233.94 secs, 134 evals, 77 steps, improv/step: 0.519 (last = 0.0000), fitness=0.629258942
8306.62 secs, 135 evals, 78 steps, improv/step: 0.513 (last = 0.0000), fitness=0.629258942
8406.33 secs, 137 evals, 79 steps, improv/step: 0.506 (last = 0.0000), fitness=0.629258942
8497.99 secs, 139 evals, 80 steps, improv/step: 0.500 (last = 0.0000), fitness=0.629258942
8517.42 secs, 140 evals, 81 steps, improv/step: 0.506 (last = 1.0000), fitness=0.629258942
8583.80 secs, 141 evals, 82 steps, improv/step: 0.512 (last = 1.0000), fitness=0.629258942
8648.59 secs, 142 evals, 83 steps, improv/step: 0.518 (last = 1.0000), fitness=0.629258942
8781.16 secs, 144 evals, 84 steps, improv/step: 0.524 (last = 1.0000), fitness=0.629258942
8845.89 secs, 145 evals, 85 steps, improv/step: 0.518 (last = 0.0000), fitness=0.629258942
8904.52 secs, 146 evals, 86 steps, improv/step: 0.523 (last = 1.0000), fitness=0.629258942
8951.22 secs, 147 evals, 87 steps, improv/step: 0.529 (last = 1.0000), fitness=0.629258942
9002.41 secs, 148 evals, 88 steps, improv/step: 0.534 (last = 1.0000), fitness=0.629258942
9073.38 secs, 149 evals, 89 steps, improv/step: 0.528 (last = 0.0000), fitness=0.629258942
9125.21 secs, 150 evals, 90 steps, improv/step: 0.533 (last = 1.0000), fitness=0.629258942
9145.97 secs, 151 evals, 91 steps, improv/step: 0.538 (last = 1.0000), fitness=0.629258942
9285.90 secs, 153 evals, 92 steps, improv/step: 0.543 (last = 1.0000), fitness=0.629258942
9348.39 secs, 154 evals, 93 steps, improv/step: 0.538 (last = 0.0000), fitness=0.629258942
9472.79 secs, 156 evals, 94 steps, improv/step: 0.543 (last = 1.0000), fitness=0.629258942
9544.23 secs, 157 evals, 95 steps, improv/step: 0.537 (last = 0.0000), fitness=0.629258942
9586.87 secs, 158 evals, 96 steps, improv/step: 0.542 (last = 1.0000), fitness=0.629258942
9632.95 secs, 159 evals, 97 steps, improv/step: 0.546 (last = 1.0000), fitness=0.629258942
9698.17 secs, 160 evals, 98 steps, improv/step: 0.541 (last = 0.0000), fitness=0.629258942
9755.98 secs, 161 evals, 99 steps, improv/step: 0.545 (last = 1.0000), fitness=0.629258942
9775.47 secs, 162 evals, 100 steps, improv/step: 0.540 (last = 0.0000), fitness=0.629258942
9818.51 secs, 163 evals, 101 steps, improv/step: 0.535 (last = 0.0000), fitness=0.629258942
9944.48 secs, 165 evals, 102 steps, improv/step: 0.529 (last = 0.0000), fitness=0.629258942
10001.84 secs, 166 evals, 103 steps, improv/step: 0.534 (last = 1.0000), fitness=0.629258942
10022.80 secs, 167 evals, 104 steps, improv/step: 0.538 (last = 1.0000), fitness=0.629258942
10077.57 secs, 168 evals, 105 steps, improv/step: 0.533 (last = 0.0000), fitness=0.629258942
10120.86 secs, 170 evals, 106 steps, improv/step: 0.528 (last = 0.0000), fitness=0.629258942
10182.42 secs, 171 evals, 107 steps, improv/step: 0.523 (last = 0.0000), fitness=0.629258942
10316.67 secs, 173 evals, 108 steps, improv/step: 0.519 (last = 0.0000), fitness=0.629258942
10384.25 secs, 174 evals, 109 steps, improv/step: 0.514 (last = 0.0000), fitness=0.629258942
10428.73 secs, 175 evals, 110 steps, improv/step: 0.518 (last = 1.0000), fitness=0.629258942
10452.91 secs, 176 evals, 111 steps, improv/step: 0.514 (last = 0.0000), fitness=0.629258942
10536.73 secs, 178 evals, 112 steps, improv/step: 0.509 (last = 0.0000), fitness=0.629258942
10655.98 secs, 180 evals, 113 steps, improv/step: 0.504 (last = 0.0000), fitness=0.629258942
10717.24 secs, 181 evals, 114 steps, improv/step: 0.500 (last = 0.0000), fitness=0.629258942
10783.41 secs, 182 evals, 115 steps, improv/step: 0.496 (last = 0.0000), fitness=0.629258942

Optimization stopped after 116 steps and 10841.89 seconds
Termination reason: Max time (10800.0 s) reached
Steps per second = 0.01
Function evals per second = 0.02
Improvements/step = Inf
Total function evaluations = 184


Best candidate found: [0.0691097, 0.603328]

Fitness: 0.629258942

