N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
19.50 secs, 2 evals, 1 steps, fitness=3.559071134
1253.04 secs, 118 evals, 65 steps, improv/step: 0.446 (last = 1.0000), fitness=1.527855177
1264.82 secs, 119 evals, 66 steps, improv/step: 0.439 (last = 0.0000), fitness=1.527855177
1276.64 secs, 120 evals, 67 steps, improv/step: 0.448 (last = 1.0000), fitness=1.527855177
1288.87 secs, 121 evals, 68 steps, improv/step: 0.441 (last = 0.0000), fitness=1.527855177
1301.18 secs, 122 evals, 69 steps, improv/step: 0.435 (last = 0.0000), fitness=1.527855177
1311.04 secs, 123 evals, 70 steps, improv/step: 0.443 (last = 1.0000), fitness=1.527855177
1326.42 secs, 125 evals, 71 steps, improv/step: 0.451 (last = 1.0000), fitness=1.527855177
1348.63 secs, 127 evals, 72 steps, improv/step: 0.458 (last = 1.0000), fitness=1.527855177
1373.53 secs, 129 evals, 73 steps, improv/step: 0.466 (last = 1.0000), fitness=1.527855177
1397.97 secs, 131 evals, 74 steps, improv/step: 0.473 (last = 1.0000), fitness=1.527855177
1418.41 secs, 133 evals, 75 steps, improv/step: 0.480 (last = 1.0000), fitness=1.527855177
1442.55 secs, 135 evals, 76 steps, improv/step: 0.487 (last = 1.0000), fitness=1.527855177
1461.60 secs, 137 evals, 77 steps, improv/step: 0.494 (last = 1.0000), fitness=1.527855177
1473.81 secs, 138 evals, 78 steps, improv/step: 0.487 (last = 0.0000), fitness=1.527855177
1485.51 secs, 139 evals, 79 steps, improv/step: 0.494 (last = 1.0000), fitness=1.527855177
1495.71 secs, 140 evals, 80 steps, improv/step: 0.487 (last = 0.0000), fitness=1.527855177
1516.05 secs, 142 evals, 81 steps, improv/step: 0.494 (last = 1.0000), fitness=1.527855177
1526.50 secs, 143 evals, 82 steps, improv/step: 0.488 (last = 0.0000), fitness=1.527855177
1550.11 secs, 145 evals, 83 steps, improv/step: 0.482 (last = 0.0000), fitness=1.527855177
1573.65 secs, 147 evals, 84 steps, improv/step: 0.476 (last = 0.0000), fitness=1.527855177
1594.91 secs, 149 evals, 85 steps, improv/step: 0.482 (last = 1.0000), fitness=1.527855177
1616.66 secs, 151 evals, 86 steps, improv/step: 0.477 (last = 0.0000), fitness=1.527855177
1637.52 secs, 153 evals, 87 steps, improv/step: 0.471 (last = 0.0000), fitness=1.527855177
1662.18 secs, 155 evals, 88 steps, improv/step: 0.466 (last = 0.0000), fitness=1.527855177
1672.27 secs, 156 evals, 89 steps, improv/step: 0.472 (last = 1.0000), fitness=1.527855177
1696.29 secs, 158 evals, 90 steps, improv/step: 0.467 (last = 0.0000), fitness=1.527855177
1707.50 secs, 159 evals, 91 steps, improv/step: 0.473 (last = 1.0000), fitness=1.527855177
1718.20 secs, 160 evals, 92 steps, improv/step: 0.467 (last = 0.0000), fitness=1.527855177
1729.45 secs, 161 evals, 93 steps, improv/step: 0.462 (last = 0.0000), fitness=1.527855177
1741.88 secs, 162 evals, 94 steps, improv/step: 0.457 (last = 0.0000), fitness=1.527855177
1758.64 secs, 164 evals, 95 steps, improv/step: 0.453 (last = 0.0000), fitness=1.527855177
1782.16 secs, 166 evals, 96 steps, improv/step: 0.458 (last = 1.0000), fitness=1.527855177
1794.47 secs, 167 evals, 97 steps, improv/step: 0.454 (last = 0.0000), fitness=1.527855177
1805.87 secs, 168 evals, 98 steps, improv/step: 0.459 (last = 1.0000), fitness=1.527855177
1815.10 secs, 169 evals, 99 steps, improv/step: 0.455 (last = 0.0000), fitness=1.527855177
1824.20 secs, 170 evals, 100 steps, improv/step: 0.460 (last = 1.0000), fitness=1.527855177
1835.91 secs, 171 evals, 101 steps, improv/step: 0.455 (last = 0.0000), fitness=1.527855177
1847.97 secs, 172 evals, 102 steps, improv/step: 0.451 (last = 0.0000), fitness=1.527855177
1859.23 secs, 173 evals, 103 steps, improv/step: 0.456 (last = 1.0000), fitness=1.527855177
1871.48 secs, 174 evals, 104 steps, improv/step: 0.452 (last = 0.0000), fitness=1.527855177
1882.73 secs, 175 evals, 105 steps, improv/step: 0.448 (last = 0.0000), fitness=1.527855177
1905.83 secs, 177 evals, 106 steps, improv/step: 0.443 (last = 0.0000), fitness=1.527855177
1917.74 secs, 178 evals, 107 steps, improv/step: 0.439 (last = 0.0000), fitness=1.527855177
1929.81 secs, 179 evals, 108 steps, improv/step: 0.435 (last = 0.0000), fitness=1.527855177
