N_Jobs_Total: 3024
N_Runs: 275
Job: 430, N_Quanta: 256, epsilon: 0.423, NT_per_Second: 800, mem_slope: 0.0125
Job: 431, N_Quanta: 256, epsilon: 0.423, NT_per_Second: 1600, mem_slope: 0.0125
Job: 432, N_Quanta: 256, epsilon: 0.423, NT_per_Second: 3200, mem_slope: 0.0125
Job: 433, N_Quanta: 2, epsilon: 0.99, NT_per_Second: 12, mem_slope: 0.025
Job: 434, N_Quanta: 2, epsilon: 0.99, NT_per_Second: 25, mem_slope: 0.025
Job: 435, N_Quanta: 2, epsilon: 0.99, NT_per_Second: 50, mem_slope: 0.025
Job: 436, N_Quanta: 2, epsilon: 0.99, NT_per_Second: 100, mem_slope: 0.025
Job: 437, N_Quanta: 2, epsilon: 0.99, NT_per_Second: 200, mem_slope: 0.025
Job: 438, N_Quanta: 2, epsilon: 0.99, NT_per_Second: 400, mem_slope: 0.025
Job: 439, N_Quanta: 2, epsilon: 0.99, NT_per_Second: 800, mem_slope: 0.025
Job: 440, N_Quanta: 2, epsilon: 0.99, NT_per_Second: 1600, mem_slope: 0.025
