N_Jobs_Total: 3024
N_Runs: 275
Job: 980, N_Quanta: 32, epsilon: 0.978, NT_per_Second: 1600, mem_slope: 0.05
Job: 981, N_Quanta: 32, epsilon: 0.978, NT_per_Second: 3200, mem_slope: 0.05
Job: 982, N_Quanta: 64, epsilon: 0.978, NT_per_Second: 12, mem_slope: 0.05
Job: 983, N_Quanta: 64, epsilon: 0.978, NT_per_Second: 25, mem_slope: 0.05
Job: 984, N_Quanta: 64, epsilon: 0.978, NT_per_Second: 50, mem_slope: 0.05
Job: 985, N_Quanta: 64, epsilon: 0.978, NT_per_Second: 100, mem_slope: 0.05
Job: 986, N_Quanta: 64, epsilon: 0.978, NT_per_Second: 200, mem_slope: 0.05
Job: 987, N_Quanta: 64, epsilon: 0.978, NT_per_Second: 400, mem_slope: 0.05
Job: 988, N_Quanta: 64, epsilon: 0.978, NT_per_Second: 800, mem_slope: 0.05
Job: 989, N_Quanta: 64, epsilon: 0.978, NT_per_Second: 1600, mem_slope: 0.05
Job: 990, N_Quanta: 64, epsilon: 0.978, NT_per_Second: 3200, mem_slope: 0.05
