N_Jobs_Total: 3024
N_Runs: 275
Job: 2894, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 200, mem_slope: 0.8
Job: 2895, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 400, mem_slope: 0.8
Job: 2896, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 800, mem_slope: 0.8
Job: 2897, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 1600, mem_slope: 0.8
Job: 2898, N_Quanta: 4, epsilon: 0.744, NT_per_Second: 3200, mem_slope: 0.8
Job: 2899, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 12, mem_slope: 0.8
Job: 2900, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 25, mem_slope: 0.8
Job: 2901, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 50, mem_slope: 0.8
Job: 2902, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 100, mem_slope: 0.8
Job: 2903, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 200, mem_slope: 0.8
Job: 2904, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 400, mem_slope: 0.8
