N_Jobs_Total: 2450
N_Runs: 82
Job: 271, N_Quanta: 27, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 272, N_Quanta: 28, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 273, N_Quanta: 29, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 274, N_Quanta: 30, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 275, N_Quanta: 31, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 276, N_Quanta: 32, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 277, N_Quanta: 33, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 278, N_Quanta: 34, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 279, N_Quanta: 35, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 280, N_Quanta: 36, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 281, N_Quanta: 37, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 282, N_Quanta: 38, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 283, N_Quanta: 39, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 284, N_Quanta: 40, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 285, N_Quanta: 41, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 286, N_Quanta: 42, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 287, N_Quanta: 43, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 288, N_Quanta: 44, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 289, N_Quanta: 45, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 290, N_Quanta: 46, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 291, N_Quanta: 47, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 292, N_Quanta: 48, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 293, N_Quanta: 49, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 294, N_Quanta: 50, epsilon: 0.9, NT_per_Second: 800, mem_slope: 0.2
Job: 295, N_Quanta: 2, epsilon: 0.88, NT_per_Second: 800, mem_slope: 0.2
Job: 296, N_Quanta: 3, epsilon: 0.88, NT_per_Second: 800, mem_slope: 0.2
Job: 297, N_Quanta: 4, epsilon: 0.88, NT_per_Second: 800, mem_slope: 0.2
Job: 298, N_Quanta: 5, epsilon: 0.88, NT_per_Second: 800, mem_slope: 0.2
Job: 299, N_Quanta: 6, epsilon: 0.88, NT_per_Second: 800, mem_slope: 0.2
Job: 300, N_Quanta: 7, epsilon: 0.88, NT_per_Second: 800, mem_slope: 0.2
