"","Subject","trial.number","Observation.id","food.loc","distract.loc","n_searches","delay","load","baiting","interval","first.search.time","first.search.loc","time.to.search","first.search","food.loc.row","food.loc.col","first.search.row","first.search.col"
"289","Torres","3","Torres_E1_S1_T1-6","F2","C1",3,"S","2",136.2,7.20000000000002,146.04,"F1",9.84,0,"F","2","F","1"
"290","Torres","30","Torres_E1_S5_T1-6","F3","C2",3,"M","2",284.28,9.72000000000003,296.64,"F2",12.36,0,"F","3","F","2"
"291","Torres","31","Torres_E1_S6_T1-6","A3","None",1,"S","1",31.16,5.12,38.92,"A3",7.76,1,"A","3","A","3"
"292","Torres","32","Torres_E1_S6_T1-6","F1","C2",2,"M","2",75.8,8.8,86.28,"F2",10.48,0,"F","1","F","2"
"293","Torres","33","Torres_E1_S6_T1-6","D1","None",2,"M","1",123.72,7.72,133.64,"D2",9.91999999999999,0,"D","1","D","2"
"294","Torres","34","Torres_E1_S6_T1-6","B3","E2",4,"L","2",177.4,10.96,190.28,"B2",12.88,0,"B","3","B","2"
"295","Torres","35","Torres_E1_S6_T1-6","E2","None",1,"L","1",229.28,11.08,242.76,"E2",13.48,1,"E","2","E","2"
"296","Torres","36","Torres_E1_S6_T1-6","C2","F2",3,"S","2",277.56,6.92000000000002,286.76,"C1",9.19999999999999,0,"C","2","C","1"
"297","Torres","4","Torres_E1_S1_T1-6","E1","None",1,"L","1",182.08,9.63999999999999,193.8,"E1",11.72,1,"E","1","E","1"
"298","Torres","5","Torres_E1_S1_T1-6","A3","D2",1,"M","2",231.52,8.75999999999999,242.08,"A3",10.56,1,"A","3","A","3"
"299","Torres","6","Torres_E1_S1_T1-6","B1","E3",2,"L","2",307.16,13.04,321.88,"B2",14.72,0,"B","1","B","2"
"300","Torres","7","Torres_E1_S2_T1-2","D1","None",1,"S","1",61.4,6.24,69.4,"D1",8.00000000000001,1,"D","1","D","1"
"301","Torres","8","Torres_E1_S2_T1-2","B3","None",1,"M","1",102.88,6.80000000000001,111.4,"B3",8.52000000000001,1,"B","3","B","3"
"302","Torres","9","Torres_E1_S2_T3-6","C1","F2",1,"L","2",38.32,13.96,54.4,"C1",16.08,1,"C","1","C","1"
