N_Jobs_Total: 14700
N_Runs: 60
Job: 4411, N_Quanta: 2, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4412, N_Quanta: 2, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4413, N_Quanta: 2, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4414, N_Quanta: 2, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4415, N_Quanta: 2, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4416, N_Quanta: 2, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4417, N_Quanta: 3, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4418, N_Quanta: 3, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4419, N_Quanta: 3, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4420, N_Quanta: 3, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4421, N_Quanta: 3, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4422, N_Quanta: 3, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4423, N_Quanta: 4, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4424, N_Quanta: 4, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4425, N_Quanta: 4, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4426, N_Quanta: 4, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4427, N_Quanta: 4, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4428, N_Quanta: 4, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4429, N_Quanta: 5, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4430, N_Quanta: 5, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4431, N_Quanta: 5, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4432, N_Quanta: 5, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4433, N_Quanta: 5, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4434, N_Quanta: 5, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4435, N_Quanta: 6, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4436, N_Quanta: 6, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4437, N_Quanta: 6, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4438, N_Quanta: 6, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4439, N_Quanta: 6, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4440, N_Quanta: 6, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4441, N_Quanta: 7, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4442, N_Quanta: 7, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4443, N_Quanta: 7, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4444, N_Quanta: 7, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4445, N_Quanta: 7, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4446, N_Quanta: 7, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4447, N_Quanta: 8, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4448, N_Quanta: 8, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4449, N_Quanta: 8, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4450, N_Quanta: 8, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4451, N_Quanta: 8, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4452, N_Quanta: 8, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4453, N_Quanta: 9, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4454, N_Quanta: 9, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4455, N_Quanta: 9, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4456, N_Quanta: 9, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4457, N_Quanta: 9, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4458, N_Quanta: 9, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4459, N_Quanta: 10, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4460, N_Quanta: 10, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4461, N_Quanta: 10, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4462, N_Quanta: 10, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4463, N_Quanta: 10, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4464, N_Quanta: 10, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4465, N_Quanta: 11, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4466, N_Quanta: 11, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4467, N_Quanta: 11, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4468, N_Quanta: 11, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4469, N_Quanta: 11, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4470, N_Quanta: 11, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4471, N_Quanta: 12, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4472, N_Quanta: 12, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4473, N_Quanta: 12, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4474, N_Quanta: 12, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4475, N_Quanta: 12, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4476, N_Quanta: 12, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4477, N_Quanta: 13, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4478, N_Quanta: 13, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4479, N_Quanta: 13, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
Job: 4480, N_Quanta: 13, epsilon: 0.7, NT_per_Second: 100, mem_slope: 0.2
Job: 4481, N_Quanta: 13, epsilon: 0.7, NT_per_Second: 200, mem_slope: 0.2
Job: 4482, N_Quanta: 13, epsilon: 0.7, NT_per_Second: 400, mem_slope: 0.2
Job: 4483, N_Quanta: 14, epsilon: 0.7, NT_per_Second: 10, mem_slope: 0.2
Job: 4484, N_Quanta: 14, epsilon: 0.7, NT_per_Second: 25, mem_slope: 0.2
Job: 4485, N_Quanta: 14, epsilon: 0.7, NT_per_Second: 50, mem_slope: 0.2
