N_Jobs_Total: 2450
N_Runs: 82
Job: 1381, N_Quanta: 10, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1382, N_Quanta: 11, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1383, N_Quanta: 12, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1384, N_Quanta: 13, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1385, N_Quanta: 14, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1386, N_Quanta: 15, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1387, N_Quanta: 16, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1388, N_Quanta: 17, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1389, N_Quanta: 18, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1390, N_Quanta: 19, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1391, N_Quanta: 20, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1392, N_Quanta: 21, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1393, N_Quanta: 22, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1394, N_Quanta: 23, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1395, N_Quanta: 24, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1396, N_Quanta: 25, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1397, N_Quanta: 26, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1398, N_Quanta: 27, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1399, N_Quanta: 28, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1400, N_Quanta: 29, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1401, N_Quanta: 30, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1402, N_Quanta: 31, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1403, N_Quanta: 32, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1404, N_Quanta: 33, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1405, N_Quanta: 34, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1406, N_Quanta: 35, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1407, N_Quanta: 36, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1408, N_Quanta: 37, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1409, N_Quanta: 38, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
Job: 1410, N_Quanta: 39, epsilon: 0.44, NT_per_Second: 800, mem_slope: 0.2
