N_Jobs_Total: 3024
N_Runs: 275
Job: 1123, N_Quanta: 32, epsilon: 0.886, NT_per_Second: 800, mem_slope: 0.05
Job: 1124, N_Quanta: 32, epsilon: 0.886, NT_per_Second: 1600, mem_slope: 0.05
Job: 1125, N_Quanta: 32, epsilon: 0.886, NT_per_Second: 3200, mem_slope: 0.05
Job: 1126, N_Quanta: 64, epsilon: 0.886, NT_per_Second: 12, mem_slope: 0.05
Job: 1127, N_Quanta: 64, epsilon: 0.886, NT_per_Second: 25, mem_slope: 0.05
Job: 1128, N_Quanta: 64, epsilon: 0.886, NT_per_Second: 50, mem_slope: 0.05
Job: 1129, N_Quanta: 64, epsilon: 0.886, NT_per_Second: 100, mem_slope: 0.05
Job: 1130, N_Quanta: 64, epsilon: 0.886, NT_per_Second: 200, mem_slope: 0.05
Job: 1131, N_Quanta: 64, epsilon: 0.886, NT_per_Second: 400, mem_slope: 0.05
Job: 1132, N_Quanta: 64, epsilon: 0.886, NT_per_Second: 800, mem_slope: 0.05
Job: 1133, N_Quanta: 64, epsilon: 0.886, NT_per_Second: 1600, mem_slope: 0.05
