N_Jobs_Total: 3024
N_Runs: 275
Job: 78, N_Quanta: 2, epsilon: 0.978, NT_per_Second: 400, mem_slope: 0.0125
Job: 79, N_Quanta: 2, epsilon: 0.978, NT_per_Second: 800, mem_slope: 0.0125
Job: 80, N_Quanta: 2, epsilon: 0.978, NT_per_Second: 1600, mem_slope: 0.0125
Job: 81, N_Quanta: 2, epsilon: 0.978, NT_per_Second: 3200, mem_slope: 0.0125
Job: 82, N_Quanta: 4, epsilon: 0.978, NT_per_Second: 12, mem_slope: 0.0125
Job: 83, N_Quanta: 4, epsilon: 0.978, NT_per_Second: 25, mem_slope: 0.0125
Job: 84, N_Quanta: 4, epsilon: 0.978, NT_per_Second: 50, mem_slope: 0.0125
Job: 85, N_Quanta: 4, epsilon: 0.978, NT_per_Second: 100, mem_slope: 0.0125
Job: 86, N_Quanta: 4, epsilon: 0.978, NT_per_Second: 200, mem_slope: 0.0125
Job: 87, N_Quanta: 4, epsilon: 0.978, NT_per_Second: 400, mem_slope: 0.0125
Job: 88, N_Quanta: 4, epsilon: 0.978, NT_per_Second: 800, mem_slope: 0.0125
