N_Jobs_Total: 3024
N_Runs: 275
Job: 2399, N_Quanta: 8, epsilon: 0.886, NT_per_Second: 200, mem_slope: 0.4
Job: 2400, N_Quanta: 8, epsilon: 0.886, NT_per_Second: 400, mem_slope: 0.4
Job: 2401, N_Quanta: 8, epsilon: 0.886, NT_per_Second: 800, mem_slope: 0.4
Job: 2402, N_Quanta: 8, epsilon: 0.886, NT_per_Second: 1600, mem_slope: 0.4
Job: 2403, N_Quanta: 8, epsilon: 0.886, NT_per_Second: 3200, mem_slope: 0.4
Job: 2404, N_Quanta: 16, epsilon: 0.886, NT_per_Second: 12, mem_slope: 0.4
Job: 2405, N_Quanta: 16, epsilon: 0.886, NT_per_Second: 25, mem_slope: 0.4
Job: 2406, N_Quanta: 16, epsilon: 0.886, NT_per_Second: 50, mem_slope: 0.4
Job: 2407, N_Quanta: 16, epsilon: 0.886, NT_per_Second: 100, mem_slope: 0.4
Job: 2408, N_Quanta: 16, epsilon: 0.886, NT_per_Second: 200, mem_slope: 0.4
Job: 2409, N_Quanta: 16, epsilon: 0.886, NT_per_Second: 400, mem_slope: 0.4
