N_Jobs_Total: 3024
N_Runs: 275
Job: 309, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 50, mem_slope: 0.0125
Job: 310, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 100, mem_slope: 0.0125
Job: 311, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 200, mem_slope: 0.0125
Job: 312, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 400, mem_slope: 0.0125
Job: 313, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 800, mem_slope: 0.0125
Job: 314, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 1600, mem_slope: 0.0125
Job: 315, N_Quanta: 8, epsilon: 0.744, NT_per_Second: 3200, mem_slope: 0.0125
Job: 316, N_Quanta: 16, epsilon: 0.744, NT_per_Second: 12, mem_slope: 0.0125
Job: 317, N_Quanta: 16, epsilon: 0.744, NT_per_Second: 25, mem_slope: 0.0125
Job: 318, N_Quanta: 16, epsilon: 0.744, NT_per_Second: 50, mem_slope: 0.0125
Job: 319, N_Quanta: 16, epsilon: 0.744, NT_per_Second: 100, mem_slope: 0.0125
